 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;1.000;1.010;1.060;1.100;1.160;1.220;1.100;1.000
 -35 ° ;1.000;1.060;1.100;1.150;1.250;1.300;1.200;1.100
 -40 ° ;  ;1.060;1.160;1.200;1.350;1.400;1.370;1.270
 -45 ° ;  ;1.060;1.200;1.280;1.460;1.500;1.490;1.460
 -50 ° ;  ;1.070;1.200;1.320;1.580;1.620;1.600;1.590
 -55 ° ;  ;1.050;1.200;1.370;1.650;1.750;1.700;1.700
 -60 ° ;  ;1.010;1.200;1.400;1.700;1.870;2.000;2.000
 -65 ° ;  ;  ;1.200;1.420;1.760;2.000;2.200;2.200
 -70 ° ;  ;  ;1.220;1.450;1.800;2.200;2.600;2.800
 -75 ° ;  ;  ;1.170;1.420;1.850;2.350;3.000;3.600
 -80 ° ;  ;  ;1.120;1.400;1.920;2.750;3.600;4.000
 -85 ° ;  ;  ;1.000;1.350;2.050;3.200;4.000;4.400
 -90 ° ;  ;  ;  ;1.300;2.000;3.700;5.000;5.700
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;1.070;1.090;1.080;1.050;1.000;  ;  ;  
 -10 ° ;1.150;1.190;1.240;1.240;1.200;1.200;1.150;1.050
 -15 ° ;1.190;1.290;1.340;1.400;1.440;1.440;1.400;1.300
 -20 ° ;1.210;1.340;1.460;1.560;1.650;1.700;1.700;1.600
 -25 ° ;1.220;1.390;1.540;1.700;1.820;1.900;2.000;2.000
 -30 ° ;1.220;1.400;1.610;1.800;2.000;2.100;2.300;2.400
 -35 ° ;1.200;1.430;1.670;1.900;2.200;2.400;2.600;2.700
 -40 ° ;1.180;1.440;1.720;2.000;2.350;2.700;3.000;3.200
 -45 ° ;1.160;1.450;1.780;2.150;2.500;3.000;3.400;3.800
 -50 ° ;1.120;1.430;1.800;2.200;2.700;3.300;3.900;4.600
 -55 ° ;1.070;1.420;1.840;2.300;2.900;3.600;4.500;5.000
 -60 ° ;1.020;1.380;1.860;2.400;3.100;4.000;5.000;6.100
 -65 ° ;  ;1.340;1.860;2.500;3.400;4.400;6.000;7.300
 -70 ° ;  ;1.290;1.860;2.600;3.600;5.100;7.000;9.000
 -75 ° ;  ;1.220;1.830;2.700;3.900;5.500;8.000;11.000
 -80 ° ;  ;1.140;1.800;2.750;4.100;6.000;9.000;14.000
 -85 ° ;  ;1.040;1.750;2.800;4.400;7.000;10.500;16.500
 -90 ° ;  ;  ;1.680;2.850;4.700;7.600;12.000;20.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.020;1.000;1.000;  ;  ;  ;  ;  
 0 ° ;1.120;1.250;1.190;1.200;1.180;1.180;1.150;1.100
 -5 ° ;1.180;1.280;1.340;1.400;1.420;1.450;1.450;1.420
 -10 ° ;1.240;1.350;1.480;1.560;1.650;1.700;1.750;1.780
 -15 ° ;1.270;1.430;1.580;1.740;1.870;2.000;2.100;2.100
 -20 ° ;1.280;1.480;1.680;1.880;2.100;2.300;2.450;2.600
 -25 ° ;1.290;1.520;1.750;2.000;2.300;2.550;2.800;3.000
 -30 ° ;1.290;1.540;1.840;2.150;2.500;2.800;3.300;3.600
 -35 ° ;1.270;1.570;1.900;2.250;2.700;3.100;3.700;4.100
 -40 ° ;1.250;1.580;1.960;2.400;2.900;3.600;4.300;5.000
 -45 ° ;1.230;1.580;2.000;2.550;3.200;4.000;4.900;6.000
