 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -70 ° ;1.120;1.940;3.300;5.700;10.000;18.300;35.000;74.000
 -75 ° ;1.030;1.880;3.400;6.000;11.200;21.000;42.000;93.000
 -80 ° ;  ;1.800;3.400;6.500;12.400;24.000;50.000;116.000
 -85 ° ;  ;1.700;3.500;6.900;13.700;28.000;62.000;148.000
 -90 ° ;  ;1.590;3.500;7.300;15.000;32.000;74.000;184.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;1.000;1.050;1.140;1.200;1.200;1.200
 15 ° ;1.100;1.180;1.280;1.370;1.480;1.600;1.750;1.700
 10 ° ;1.200;1.320;1.470;1.620;1.780;1.980;2.200;2.300
 5 ° ;1.270;1.430;1.610;1.830;2.100;2.400;2.700;3.000
 0 ° ;1.330;1.520;1.760;2.050;2.400;2.800;3.400;4.000
 -5 ° ;1.380;1.620;1.900;2.250;2.700;3.300;4.000;5.000
 -10 ° ;1.420;1.700;2.050;2.500;3.100;3.800;4.800;6.000
 -15 ° ;1.460;1.790;2.200;2.750;3.400;4.400;6.000;8.000
 -20 ° ;1.480;1.860;2.350;3.000;3.900;5.200;7.200;10.000
 -25 ° ;1.490;1.920;2.500;3.300;4.400;5.900;8.500;13.000
 -30 ° ;1.500;1.980;2.650;3.600;4.900;6.900;10.000;16.000
 -35 ° ;1.500;2.000;2.750;3.900;5.400;8.000;12.000;20.000
 -40 ° ;1.480;2.050;2.900;4.200;6.000;9.200;14.000;24.000
 -45 ° ;1.460;2.100;3.000;4.500;6.800;10.400;17.000;30.000
 -50 ° ;1.420;2.100;3.200;4.800;7.500;11.800;20.000;37.000
 -55 ° ;1.370;2.100;3.300;5.200;8.300;14.000;24.500;47.000
 -60 ° ;1.310;2.100;3.400;5.500;9.200;16.000;29.000;58.000
 -65 ° ;1.240;2.100;3.500;5.900;10.300;18.800;35.000;74.000
 -70 ° ;1.150;2.050;3.500;6.300;11.200;21.500;42.000;94.000
 -75 ° ;1.060;1.980;3.600;6.700;12.600;25.000;50.000;118.000
 -80 ° ;  ;1.900;3.700;7.100;14.000;28.500;60.000;148.000
 -85 ° ;  ;1.800;3.700;7.500;15.500;33.000;74.000;186.000
 -90 ° ;  ;1.680;3.700;8.000;17.200;38.000;88.000;235.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;1.000;1.100;1.200;1.400;1.500
 25 ° ;1.000;1.100;1.210;1.320;1.500;1.700;1.850;2.200
 20 ° ;1.130;1.270;1.420;1.610;1.810;2.100;2.400;2.900
 15 ° ;1.230;1.400;1.600;1.840;2.150;2.550;3.000;3.500
 10 ° ;1.300;1.500;1.760;2.100;2.500;3.000;3.600;4.800
 5 ° ;1.370;1.620;1.930;2.300;2.900;3.500;4.500;6.000
 0 ° ;1.430;1.720;2.100;2.550;3.200;4.100;5.400;7.100
 -5 ° ;1.480;1.820;2.250;2.850;3.600;4.800;6.400;9.000
 -10 ° ;1.530;1.900;2.450;3.100;4.100;5.600;7.900;11.500
 -15 ° ;1.560;2.000;2.600;3.400;4.600;6.500;9.500;14.000
 -20 ° ;1.580;2.100;2.750;3.800;5.200;7.500;11.500;18.000
 -25 ° ;1.600;2.150;2.950;4.100;5.900;8.500;13.500;23.000
 -30 ° ;1.610;2.200;3.100;4.400;6.600;10.000;16.200;28.000
 -35 ° ;1.600;2.250;3.300;4.800;7.300;12.000;19.500;36.000
 -40 ° ;1.580;2.300;3.400;5.200;8.100;13.600;23.000;44.000
 -45 ° ;1.560;2.350;3.600;5.600;9.000;15.500;28.000;56.000
 -50 ° ;1.520;2.350;3.700;6.000;10.200;18.000;33.000;70.000
