Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -60 ° ;1.360;2.200;3.600;6.000;10.000;19.200;36.000;80.000
 -65 ° ;1.290;2.200;3.800;6.600;11.800;22.500;45.000;102.000
 -70 ° ;1.210;2.150;3.900;7.000;13.200;26.000;56.000;128.000
 -75 ° ;1.120;2.100;4.000;7.600;14.800;30.000;66.000;160.000
 -80 ° ;1.000;2.050;4.000;8.000;16.400;36.000;78.000;200.000
 -85 ° ;  ;1.960;4.200;8.600;18.300;40.000;97.000;255.000
 -90 ° ;  ;1.840;4.200;9.200;20.000;46.000;118.000;320.000
;;;;;;;;
 Beta\Phi=-0.6 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;1.000;1.200;1.200
 25 ° ;1.000;1.060;1.130;1.240;1.300;1.380;1.500;1.750
 20 ° ;1.110;1.170;1.280;1.420;1.550;1.670;1.900;2.300
 15 ° ;1.160;1.290;1.440;1.600;1.840;2.100;2.550;3.000
 10 ° ;1.240;1.400;1.600;1.850;2.150;2.550;3.000;4.000
 5 ° ;1.310;1.510;1.780;2.100;2.500;3.100;3.800;5.100
 0 ° ;1.370;1.620;1.930;2.300;2.850;3.600;4.600;6.200
 -5 ° ;1.420;1.720;2.100;2.600;3.300;4.300;5.800;8.000
 -10 ° ;1.470;1.800;2.250;2.900;3.800;5.000;7.000;10.000
 -15 ° ;1.510;1.900;2.450;3.100;4.300;6.000;8.500;13.000
 -20 ° ;1.530;1.980;2.600;3.500;4.900;7.000;10.100;16.200
 -25 ° ;1.560;2.050;2.800;3.900;5.400;8.000;12.500;21.000
 -30 ° ;1.560;2.150;2.950;4.100;6.100;9.200;15.000;26.000
 -35 ° ;1.560;2.200;3.100;4.600;6.900;10.800;18.000;33.000
 -40 ° ;1.550;2.250;3.300;5.000;7.700;12.500;22.000;40.000
 -45 ° ;1.530;2.300;3.500;5.400;8.600;14.500;26.000;51.000
 -50 ° ;1.500;2.300;3.600;5.800;9.700;16.800;32.000;64.000
 -55 ° ;1.460;2.300;3.800;6.300;10.800;19.500;38.000;82.000
 -60 ° ;1.400;2.300;3.900;6.700;12.000;22.500;46.000;102.000
 -65 ° ;1.320;2.300;4.000;7.200;13.300;26.000;55.000;128.000
 -70 ° ;1.240;2.250;4.200;7.700;15.000;30.000;66.000;162.000
 -75 ° ;1.140;2.200;4.300;8.300;16.600;34.000;80.000;200.000
 -80 ° ;1.030;2.150;4.300;8.900;18.400;41.000;95.000;255.000
 -85 ° ;  ;2.050;4.400;9.400;20.500;47.000;117.000;320.000
 -90 ° ;  ;1.940;4.500;10.100;22.500;54.000;140.000;400.000
;;;;;;;;
 Beta\Phi=-0.4 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;1.050;1.300;1.400
 35 ° ;  ;  ;1.060;1.160;1.300;1.420;1.700;2.050
 30 ° ;1.010;1.100;1.230;1.380;1.550;1.800;2.100;2.600
