Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -15 ° ;2.000;3.100;5.100;8.800;17.000;36.000;90.000;270.000
 -20 ° ;2.050;3.200;5.400;9.700;19.200;42.000;109.000;340.000
 -25 ° ;2.050;3.300;5.700;10.500;21.500;50.000;132.000;430.000
 -30 ° ;2.050;3.400;6.000;11.500;24.000;57.000;158.000;540.000
 -35 ° ;2.050;3.500;6.400;12.500;27.000;66.000;192.000;690.000
 -40 ° ;2.050;3.600;6.700;13.500;30.000;77.000;230.000;860.000
 -45 ° ;2.000;3.600;7.000;14.600;34.000;90.000;280.000;  
 -50 ° ;1.950;3.600;7.300;15.800;38.000;103.000;340.000;  
 -55 ° ;1.900;3.700;7.600;17.100;42.000;120.000;410.000;  
 -60 ° ;1.810;3.700;7.900;18.400;48.000;140.000;490.000;  
 -65 ° ;1.720;3.600;8.200;19.900;53.000;163.000;590.000;  
 -70 ° ;1.610;3.600;8.500;21.400;58.000;189.000;720.000;  
 -75 ° ;1.480;3.500;8.700;23.000;66.000;220.000;860.000;  
 -80 ° ;1.350;3.400;9.000;25.000;72.000;254.000;  ;  
 -85 ° ;1.190;3.300;9.200;26.500;83.000;295.000;  ;  
 -90 ° ;1.010;3.200;9.500;28.500;93.000;340.000;  ;  
;;;;;;;;
 Beta\Phi=0.667 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.220;1.600;2.200;3.100;4.800;7.900;14.800
 45 ° ;1.070;1.370;1.820;2.500;3.700;5.700;9.800;18.800
 40 ° ;1.180;1.530;2.100;2.900;4.300;6.800;11.800;23.800
 35 ° ;1.290;1.680;2.300;3.300;5.000;8.100;14.500;30.000
 30 ° ;1.390;1.840;2.550;3.700;5.700;9.600;17.800;39.000
 25 ° ;1.480;2.000;2.800;4.200;6.600;11.300;21.500;48.000
 20 ° ;1.580;2.150;3.100;4.600;7.500;13.400;26.000;60.000
 15 ° ;1.670;2.300;3.400;5.200;8.600;15.500;32.000;77.000
 10 ° ;1.750;2.450;3.600;5.700;9.800;18.500;38.000;91.000
 5 ° ;1.830;2.600;3.900;6.300;11.100;21.500;47.000;123.000
 0 ° ;1.890;2.750;4.300;7.000;12.500;25.000;57.000;153.000
 -5 ° ;1.940;2.900;4.600;7.700;14.200;29.000;68.000;195.000
 -10 ° ;2.000;3.000;4.900;8.500;16.000;34.000;83.000;245.000
 -15 ° ;2.050;3.200;5.200;9.200;18.000;39.000;100.000;310.000
 -20 ° ;2.050;3.300;5.500;10.100;20.000;46.000;121.000;390.000
 -25 ° ;2.100;3.400;5.800;10.900;22.500;53.000;145.000;490.000
 -30 ° ;2.100;3.500;6.200;12.000;25.500;62.000;175.000;610.000
 -35 ° ;2.050;3.600;6.500;12.900;28.500;71.000;210.000;780.000
 -40 ° ;2.050;3.600;6.800;14.100;32.000;84.000;255.000;  
 -45 ° ;2.000;3.700;7.200;15.200;36.000;96.000;310.000;  
 -50 ° ;1.960;3.700;7.400;16.400;40.000;112.000;370.000;  
 -55 ° ;1.900;3.700;7.800;17.800;45.000;130.000;450.000;  
 -60 ° ;1.820;3.700;8.200;19.200;50.000;152.000;540.000;  
 -65 ° ;1.730;3.700;8.400;20.500;56.000;175.000;650.000;  
 -70 ° ;1.620;3.600;8.800;22.000;63.000;205.000;790.000;  
 -75 ° ;1.490;3.600;9.000;24.000;70.000;235.000;950.000;  
 -80 ° ;1.360;3.500;9.200;26.000;79.000;275.000;  ;  
 -85 ° ;1.200;3.400;9.500;27.500;88.000;320.000;  ;  
 -90 ° ;1.020;3.300;9.700;30.000;98.000;370.000;  ;  
;;;;;;;;
 Beta\Phi=0.8 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;1.000;1.290;1.730;2.400;3.500;5.600;9.700;19.200
 45 ° ;1.110;1.450;1.960;2.800;4.200;6.700;12.000;24.500
 40 ° ;1.220;1.610;2.200;3.200;4.800;7.900;14.400;31.000
 35 ° ;1.330;1.760;2.450;3.600;5.600;9.500;18.000;39.000
 30 ° ;1.420;1.920;2.700;4.000;6.400;11.100;21.500;49.000
 25 ° ;1.530;2.100;3.000;4.500;7.400;13.200;26.500;63.000
 20 ° ;1.620;2.250;3.300;5.200;8.900;15.400;32.000;78.000
 15 ° ;1.710;2.400;3.600;5.600;9.600;18.000;39.000;100.000
 10 ° ;1.790;2.550;3.900;6.200;10.800;21.000;47.000;125.000
 5 ° ;1.870;2.700;4.200;6.900;12.300;24.500;57.000;159.000
 0 ° ;1.930;2.850;4.500;7.500;13.900;29.000;69.000;198.000
 -5 ° ;2.000;3.000;4.800;8.300;15.800;34.000;83.000;250.000
 -10 ° ;2.050;3.100;5.100;9.100;17.700;39.000;100.000;320.000
 -15 ° ;2.100;3.300;5.500;9.900;20.000;46.000;122.000;400.000
 -20 ° ;2.100;3.400;5.800;10.800;22.500;53.000;146.000;500.000
 -25 ° ;2.100;3.500;6.200;11.800;25.000;62.000;177.000;630.000
 -30 ° ;2.100;3.600;6.500;12.800;28.500;71.000;210.000;780.000
 -35 ° ;2.100;3.700;6.800;14.000;32.000;83.000;260.000;  
 -40 ° ;2.100;3.700;7.200;15.100;36.000;96.000;310.000;  
 -45 ° ;2.050;3.800;7.500;16.400;40.000;111.000;370.000;  
 -50 ° ;2.000;3.800;7.800;17.700;44.000;129.000;450.000;  
 -55 ° ;1.930;3.800;8.200;19.100;50.000;150.000;550.000;  
 -60 ° ;1.850;3.800;8.500;20.500;56.000;174.000;660.000;  
 -65 ° ;1.760;3.800;8.800;22.000;62.000;200.000;800.000;  
 -70 ° ;1.650;3.800;9.100;24.000;70.000;235.000;960.000;  
 -75 ° ;1.510;3.700;9.400;26.000;78.000;270.000;  ;  
 -80 ° ;1.380;3.600;9.700;27.500;87.000;320.000;  ;  
 -85 ° ;1.220;3.500;10.000;30.000;98.000;370.000;  ;  
 -90 ° ;1.030;3.400;10.200;32.000;109.000;430.000;  ;  
;;;;;;;;
 Beta\Phi=1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;1.040;1.390;1.920;2.800;4.200;7.000;13.000;27.500
 45 ° ;1.160;1.550;2.150;3.200;4.900;8.300;15.800;35.000
 40 ° ;1.270;1.720;2.450;3.600;5.700;9.800;19.300;44.000
 35 ° ;1.380;1.880;2.700;4.000;6.500;11.700;23.500;56.000
 30 ° ;1.480;2.050;3.000;4.600;7.400;13.700;28.500;70.000
 25 ° ;1.580;2.200;3.200;5.100;8.600;16.100;35.000;90.000
 20 ° ;1.680;2.400;3.600;5.700;9.800;18.800;42.000;112.000
 15 ° ;1.760;2.550;3.900;6.200;11.100;22.000;51.000;142.000
 10 ° ;1.840;2.700;4.200;7.000;12.600;26.000;61.000;177.000
 5 ° ;1.920;2.850;4.500;7.600;14.300;30.000;75.000;230.000
 0 ° ;1.980;3.000;4.800;8.400;16.100;35.000;90.000;285.000
 -5 ° ;2.050;3.200;5.200;9.200;18.300;41.000;109.000;360.000
 -10 ° ;2.100;3.300;5.500;10.200;20.500;48.000;131.000;450.000
 -15 ° ;2.100;3.400;5.900;11.000;23.000;55.000;158.000;570.000
 -20 ° ;2.150;3.500;6.200;12.100;26.000;64.000;192.000;670.000
 -25 ° ;2.150;3.600;6.600;13.100;29.000;75.000;230.000;910.000
 -30 ° ;2.150;3.700;7.000;14.300;33.000;87.000;280.000;  
 -35 ° ;2.150;3.800;7.300;15.500;37.000;101.000;340.000;  
 -40 ° ;2.150;3.900;7.700;16.700;41.000;117.000;400.000;  
 -45 ° ;2.100;3.900;8.000;18.100;46.000;136.000;490.000;  
 -50 ° ;2.050;4.000;8.400;19.500;51.000;157.000;590.000;  
 -55 ° ;1.980;4.000;8.700;21.000;58.000;187.000;710.000;  
 -60 ° ;1.900;4.000;9.100;23.000;64.000;212.000;860.000;  
 -65 ° ;1.800;4.000;9.400;24.500;72.000;245.000;  ;  
 -70 ° ;1.680;3.900;9.700;26.500;80.000;285.000;  ;  
 -75 ° ;1.540;3.900;10.100;28.500;90.000;330.000;  ;  
 -80 ° ;1.410;3.800;10.400;30.000;101.000;390.000;  ;  
 -85 ° ;1.240;3.700;10.700;33.000;113.000;450.000;  ;  
 -90 ° ;1.050;3.500;10.900;36.000;126.000;520.000;  ;  
