 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -70 ° ;1.070;1.800;3.000;5.000;8.400;14.800;27.000;52.000
 -75 ° ;  ;1.740;3.100;5.300;9.400;16.800;32.000;64.000
 -80 ° ;  ;1.660;3.100;5.600;10.400;19.500;40.000;82.000
 -85 ° ;  ;1.560;3.100;5.900;11.400;22.500;47.000;103.000
 -90 ° ;  ;1.450;3.000;6.200;12.600;26.000;53.000;129.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;1.030;1.070;1.100;1.150;1.220;1.250;1.300;1.400
 10 ° ;1.160;1.250;1.340;1.450;1.550;1.600;1.720;1.800
 5 ° ;1.230;1.370;1.510;1.680;1.870;2.000;2.200;2.500
 0 ° ;1.290;1.470;1.660;1.870;2.150;2.400;2.800;3.100
 -5 ° ;1.340;1.560;1.810;2.100;2.400;2.800;3.300;4.000
 -10 ° ;1.380;1.640;1.920;2.300;2.750;3.250;4.000;4.900
 -15 ° ;1.420;1.710;2.050;2.500;3.100;3.800;4.800;5.800
 -20 ° ;1.440;1.770;2.200;2.750;3.500;4.300;5.600;7.300
 -25 ° ;1.460;1.840;2.350;2.950;3.800;5.000;6.700;9.000
 -30 ° ;1.460;1.890;2.450;3.200;4.300;5.700;8.000;11.000
 -35 ° ;1.450;1.930;2.600;3.500;4.700;6.600;9.300;14.000
 -40 ° ;1.440;1.960;2.700;3.700;5.300;7.400;11.300;16.500
 -45 ° ;1.410;1.990;2.800;4.000;5.800;8.500;13.300;22.000
 -50 ° ;1.370;1.990;2.900;4.300;6.400;10.000;16.000;26.000
 -55 ° ;1.320;1.990;3.000;4.600;7.100;11.500;19.300;34.000
 -60 ° ;1.260;1.970;3.100;4.800;7.800;13.000;22.500;42.000
 -65 ° ;1.190;1.950;3.200;5.200;8.600;15.000;27.000;52.000
 -70 ° ;1.100;1.890;3.200;5.500;9.500;17.000;32.000;66.000
 -75 ° ;1.000;1.830;3.300;5.800;10.600;19.800;39.000;80.000
 -80 ° ;  ;1.740;3.300;6.200;11.600;23.000;46.000;104.000
 -85 ° ;  ;1.640;3.300;6.500;12.800;26.000;56.000;130.000
 -90 ° ;  ;1.530;3.300;6.900;14.300;30.000;68.000;164.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
