 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -30 ° ;1.890;2.950;4.800;8.300;15.700;33.000;78.000;220.000
 -35 ° ;1.870;3.000;5.000;9.000;17.500;38.000;94.000;275.000
 -40 ° ;1.840;3.000;5.200;9.700;19.400;44.000;113.000;340.000
 -45 ° ;1.800;3.000;5.400;10.800;22.000;51.000;135.000;440.000
 -50 ° ;1.750;3.000;5.600;11.200;24.000;59.000;163.000;550.000
 -55 ° ;1.690;3.000;5.800;12.000;27.000;68.000;198.000;690.000
 -60 ° ;1.600;3.000;6.000;12.900;30.000;78.000;240.000;870.000
 -65 ° ;1.500;3.000;6.200;13.800;34.000;91.000;285.000;  
 -70 ° ;1.400;2.950;6.400;14.800;37.000;105.000;340.000;  
 -75 ° ;1.250;2.950;6.500;15.800;42.000;122.000;420.000;  
 -80 ° ;1.140;2.700;6.600;16.900;46.000;142.000;500.000;  
 -85 ° ;  ;2.600;6.800;18.100;52.000;165.000;608.000;  
 -90 ° ;  ;2.450;6.900;19.400;58.000;190.000;732.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.110;1.380;1.760;2.300;3.100;4.500;6.700
 45 ° ;1.020;1.250;1.570;2.000;2.700;3.700;5.400;8.500
 40 ° ;1.120;1.380;1.760;2.300;3.100;4.400;6.500;10.700
 35 ° ;1.220;1.520;1.960;2.600;3.600;5.200;7.900;13.300
 30 ° ;1.310;1.660;2.150;2.900;4.100;6.000;9.500;16.700
 25 ° ;1.400;1.800;2.350;3.200;4.600;7.000;11.400;21.500
 20 ° ;1.490;1.920;2.450;3.600;5.500;8.200;13.600;26.000
 15 ° ;1.570;2.050;2.800;4.000;5.900;9.600;16.500;32.000
 10 ° ;1.640;2.200;2.950;4.400;6.700;10.900;19.800;40.000
 5 ° ;1.700;2.300;3.300;4.800;7.600;12.800;23.500;51.000
 0 ° ;1.760;2.450;3.500;5.300;8.500;14.700;28.500;63.000
 -5 ° ;1.800;2.550;3.700;5.700;9.500;17.100;34.000;80.000
 -10 ° ;1.850;2.650;4.000;6.300;10.600;19.800;41.000;100.000
 -15 ° ;1.880;2.750;4.200;6.800;11.900;23.000;50.000;125.000
 -20 ° ;1.900;2.800;4.400;7.400;13.300;26.500;59.000;158.000
 -25 ° ;1.910;2.900;4.700;8.000;14.900;30.000;72.000;198.000
 -30 ° ;1.900;3.000;4.900;8.600;16.600;35.000;86.000;250.000
 -35 ° ;1.890;3.000;5.100;9.300;18.500;41.000;104.000;310.000
 -40 ° ;1.860;3.100;5.400;10.000;20.500;41.000;125.000;400.000
 -45 ° ;1.820;3.100;5.600;10.800;23.000;55.000;150.000;500.000
 -50 ° ;1.770;3.100;5.800;11.600;25.500;63.000;180.000;630.000
 -55 ° ;1.700;3.100;6.000;12.500;28.000;73.000;220.000;790.000
 -60 ° ;1.620;3.100;6.200;13.300;32.000;84.000;260.000;990.000
 -65 ° ;1.520;3.000;6.300;14.300;35.000;98.000;320.000;  
 -70 ° ;1.420;2.950;6.500;15.300;39.000;113.000;380.000;  
 -75 ° ;1.260;2.900;6.700;16.400;44.000;131.000;460.000;  
 -80 ° ;1.150;2.750;6.800;17.500;49.000;152.000;560.000;  
 -85 ° ;1.000;2.650;6.900;18.800;55.000;178.000;670.000;  
 -90 ° ;  ;2.500;7.000;20.200;61.000;205.000;810.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.180;1.480;1.930;2.600;3.600;5.400;8.700
 45 ° ;1.060;1.310;1.680;2.200;3.000;4.300;6.600;10.900
 40 ° ;1.150;1.440;1.870;2.500;3.500;5.000;7.900;13.600
 35 ° ;1.250;1.590;2.100;2.800;4.000;6.000;9.600;17.000
 30 ° ;1.340;1.730;2.300;3.100;4.500;6.900;11.500;21.500
 25 ° ;1.430;1.870;2.500;3.500;5.100;8.000;13.800;25.000
 20 ° ;1.520;2.000;2.700;3.900;5.800;9.300;16.500;33.000
 15 ° ;1.600;2.150;2.950;4.400;6.600;10.900;20.000;42.000
 10 ° ;1.670;2.300;3.200;4.700;7.400;12.500;24.000;52.000
 5 ° ;1.740;2.400;3.400;5.200;8.400;14.600;29.000;66.000
 0 ° ;1.790;2.500;3.700;5.700;9.400;16.900;34.000;91.000
 -5 ° ;1.840;2.550;3.900;6.200;10.500;19.500;42.000;103.000
 -10 ° ;1.880;2.700;4.200;6.700;11.700;22.500;50.000;129.000
 -15 ° ;1.900;2.850;4.400;7.400;13.200;26.000;60.000;162.000
 -20 ° ;1.930;2.900;4.600;7.900;14.700;30.000;72.000;205.000
 -25 ° ;1.940;3.000;4.900;8.600;16.400;35.000;87.000;255.000
 -30 ° ;1.940;3.100;5.100;9.300;18.300;40.000;104.000;320.000
 -35 ° ;1.920;3.100;5.400;10.000;20.500;47.000;126.000;405.000
 -40 ° ;1.840;3.200;5.800;11.600;25.500;63.000;182.000;640.000
 -45 ° ;1.790;3.200;6.100;12.500;28.000;73.000;220.000;800.000
 -50 ° ;1.720;3.200;6.300;13.400;32.000;84.000;265.000;  
 -55 ° ;1.640;3.200;6.500;14.300;35.000;97.000;320.000;  
 -60 ° ;1.540;3.100;6.700;15.400;39.000;113.000;380.000;  
 -65 ° ;1.430;3.000;6.800;16.400;44.000;131.000;460.000;  
 -70 ° ;1.270;2.950;7.000;17.600;49.000;152.000;560.000;  
 -75 ° ;1.160;2.800;7.100;18.900;54.000;174.000;670.000;  
 -80 ° ;1.020;2.700;7.200;20.200;60.000;205.000;810.000;  
 -85 ° ;  ;2.550;7.300;21.500;68.000;236.000;990.000;  
 -90 ° ;  ;  ;  ;  ;  ;  ;  ;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;1.000;1.250;1.630;2.200;3.000;4.400;6.900;12.300
 45 ° ;1.090;1.400;1.820;2.500;3.500;5.200;8.500;15.200
 40 ° ;1.190;1.530;2.050;2.800;4.000;6.100;10.200;19.100
 35 ° ;1.300;1.680;2.250;3.100;4.600;7.200;12.300;24.000
 30 ° ;1.390;1.830;2.500;3.500;5.200;8.400;14.700;30.000
 25 ° ;1.450;1.970;2.700;3.900;5.900;9.700;18.000;37.000
 20 ° ;1.560;2.100;2.950;4.300;6.700;11.300;21.500;47.000
 15 ° ;1.650;2.250;3.200;4.700;7.600;13.200;26.000;59.000
 10 ° ;1.730;2.400;3.400;5.200;8.500;15.300;31.000;73.000
 5 ° ;1.780;2.500;3.700;5.700;9.700;17.800;37.000;93.000
 0 ° ;1.840;2.600;3.900;6.200;10.700;20.500;44.000;116.000
 -5 ° ;1.880;2.750;4.200;6.800;21.100;23.500;54.000;146.000
 -10 ° ;1.920;2.800;4.400;7.400;13.500;27.500;65.000;182.000
 -15 ° ;1.960;2.950;4.700;8.100;15.100;32.000;78.000;230.000
 -20 ° ;1.970;3.000;5.000;8.700;16.900;37.000;94.000;290.000
 -25 ° ;1.980;3.100;5.200;9.400;18.900;43.000;113.000;360.000
 -30 ° ;1.980;3.200;5.500;10.300;21.000;49.000;135.000;460.000
 -35 ° ;1.960;3.250;5.700;11.000;23.500;57.000;163.000;580.000
 -40 ° ;1.920;3.300;6.000;11.800;26.000;66.000;196.000;720.000
 -45 ° ;1.880;3.300;6.200;12.800;29.000;76.000;240.000;990.000
 -50 ° ;1.830;3.300;6.400;13.700;32.000;88.000;285.000;  
 -55 ° ;1.760;3.300;6.700;14.500;36.000;102.000;350.000;  
 -60 ° ;1.670;3.200;6.900;15.800;40.000;119.000;420.000;  
 -65 ° ;1.560;3.200;7.100;16.600;45.000;138.000;500.000;  
 -70 ° ;1.460;3.200;7.300;18.100;50.000;160.000;610.000;  
 -75 ° ;1.280;3.100;7.500;19.100;56.000;185.000;730.000;  
 -80 ° ;1.170;2.950;7.600;21.000;63.000;215.000;880.000;  
 -85 ° ;1.040;2.850;7.800;22.400;70.000;250.000;  ;  
 -90 ° ;  ;2.650;7.900;23.900;78.000;288.000;  ;  
