 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -75 ° ;  ;  ;1.100;1.390;1.700;2.050;2.350;2.600
 -80 ° ;  ;  ;1.030;1.350;1.720;2.100;2.500;2.800
 -85 ° ;  ;  ;  ;1.290;1.700;2.200;2.600;3.200
 -90 ° ;  ;  ;  ;1.220;1.690;2.250;2.900;3.500
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;1.050;1.020;1.030;1.000;  ;  ;  ;  
 -15 ° ;1.080;1.110;1.110;1.100;1.080;1.030;1.000;  
 -20 ° ;1.100;1.150;1.180;1.180;1.180;1.140;1.110;1.030
 -25 ° ;1.110;1.180;1.240;1.270;1.280;1.250;1.230;1.170
 -30 ° ;1.100;1.200;1.280;1.340;1.370;1.380;1.370;1.300
 -35 ° ;1.080;1.200;1.310;1.400;1.460;1.490;1.500;1.450
 -40 ° ;1.050;1.190;1.320;1.440;1.520;1.600;1.630;1.580
 -45 ° ;1.010;1.170;1.330;1.470;1.600;1.700;1.760;1.770
 -50 ° ;  ;1.140;1.320;1.500;1.650;1.800;1.890;1.950
 -55 ° ;  ;1.110;1.310;1.500;1.700;1.890;2.050;2.100
 -60 ° ;  ;1.060;1.280;1.510;1.730;1.950;2.150;2.300
 -65 ° ;  ;1.000;1.250;1.510;1.780;2.050;2.300;2.550
 -70 ° ;  ;  ;1.200;1.500;1.800;2.150;2.450;2.700
 -75 ° ;  ;  ;1.140;1.470;1.830;2.250;2.650;3.000
 -80 ° ;  ;  ;1.070;1.430;1.850;2.300;2.800;3.300
 -85 ° ;  ;  ;  ;1.380;1.850;2.400;3.000;3.700
 -90 ° ;  ;  ;  ;1.300;1.830;2.500;3.200;4.200
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;1.030;1.040;1.020;1.020;  ;  ;  ;  
 -5 ° ;1.090;1.120;1.120;1.120;1.120;1.080;1.070;1.000
 -10 ° ;1.130;1.180;1.220;1.230;1.240;1.220;1.200;1.160
 -15 ° ;1.150;1.230;1.280;1.330;1.350;1.350;1.340;1.300
 -20 ° ;1.160;1.260;1.340;1.410;1.460;1.480;1.500;1.460
 -25 ° ;1.160;1.280;1.390;1.490;1.570;1.620;1.650;1.630
 -30 ° ;1.150;1.290;1.430;1.560;1.660;1.750;1.800;1.820
 -35 ° ;1.130;1.290;1.450;1.610;1.750;1.870;1.970;2.000
 -40 ° ;1.090;1.280;1.460;1.650;1.830;2.000;2.150;2.200
 -45 ° ;1.060;1.260;1.460;1.680;1.900;2.100;2.300;2.500
 -50 ° ;1.010;1.220;1.460;1.710;1.980;2.250;2.500;2.700
 -55 ° ;  ;1.180;1.440;1.720;2.050;2.350;2.700;3.000
 -60 ° ;  ;1.130;1.420;1.730;2.100;2.450;2.900;3.300
 -65 ° ;  ;1.070;1.380;1.730;2.150;2.600;3.100;3.600
 -70 ° ;  ;1.000;1.330;1.720;2.200;2.750;3.300;4.000
 -75 ° ;  ;  ;1.260;1.700;2.250;2.850;3.600;4.600
 -80 ° ;  ;  ;1.180;1.650;2.250;2.950;3.900;5.000
 -85 ° ;  ;  ;1.080;1.590;2.250;3.100;4.200;5.600
 -90 ° ;  ;  ;  ;1.500;2.250;3.200;4.600;6.200
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.000;1.000;1.020;  ;  ;  ;  ;  
 0 ° ;1.060;1.080;1.100;1.080;1.070;1.050;1.020;1.000
 -5 ° ;1.120;1.160;1.170;1.190;1.200;1.180;1.210;1.130
 -10 ° ;1.150;1.210;1.260;1.300;1.320;1.320;1.350;1.280
 -15 ° ;1.170;1.260;1.330;1.390;1.440;1.460;1.500;1.450
 -20 ° ;1.180;1.290;1.380;1.480;1.550;1.600;1.680;1.620
 -25 ° ;1.170;1.310;1.430;1.560;1.660;1.750;1.850;1.800
 -30 ° ;1.160;1.320;1.460;1.620;1.750;1.870;2.000;2.000
 -35 ° ;1.140;1.310;1.490;1.670;1.840;2.000;2.200;2.200
 -40 ° ;1.110;1.300;1.500;1.710;1.920;2.150;2.400;2.450
 -45 ° ;1.070;1.280;1.500;1.740;2.000;2.250;2.550;2.750
 -50 ° ;1.020;1.240;1.500;1.770;2.100;2.350;2.750;3.000
 -55 ° ;  ;1.200;1.480;1.780;2.150;2.500;3.000;3.300
 -60 ° ;  ;1.150;1.450;1.800;2.200;2.650;3.200;3.700
 -65 ° ;  ;1.090;1.410;1.800;2.250;2.750;3.500;4.100
 -70 ° ;  ;1.020;1.360;1.780;2.300;2.950;3.700;4.600
 -75 ° ;  ;  ;1.290;1.760;2.350;3.100;4.000;5.100
 -80 ° ;  ;  ;1.210;1.710;2.350;3.200;4.300;5.700
 -85 ° ;  ;  ;1.110;1.650;2.400;3.400;4.600;6.500
 -90 ° ;  ;  ;1.000;1.570;2.400;3.500;5.200;7.500
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.060;1.080;1.100;1.100;1.100;1.090;1.080;1.060
 0 ° ;1.110;1.160;1.190;1.210;1.230;1.230;1.220;1.210
 -5 ° ;1.160;1.230;1.280;1.330;1.360;1.380;1.390;1.350
 -10 ° ;1.190;1.280;1.360;1.430;1.480;1.530;1.550;1.550
 -15 ° ;1.200;1.320;1.420;1.520;1.600;1.670;1.720;1.750
 -20 ° ;1.210;1.340;1.480;1.610;1.720;1.820;1.920;1.950
 -25 ° ;1.200;1.360;1.520;1.680;1.830;2.000;2.100;2.150
 -30 ° ;1.190;1.360;1.550;1.740;1.930;2.100;2.300;2.400
 -35 ° ;1.160;1.360;1.570;1.790;2.000;2.250;2.500;2.700
 -40 ° ;1.130;1.340;1.580;1.840;2.100;2.400;2.700;3.000
 -45 ° ;1.090;1.320;1.590;1.870;2.200;2.550;2.900;3.300
 -50 ° ;1.040;1.290;1.580;1.900;2.250;2.700;3.100;3.700
 -55 ° ;  ;1.240;1.560;1.920;2.350;2.850;3.500;4.100
 -60 ° ;  ;1.190;1.530;1.930;2.400;3.000;3.700;4.500
 -65 ° ;  ;1.130;1.480;1.930;2.500;3.200;4.000;5.100
 -70 ° ;  ;1.050;1.430;1.920;2.550;3.300;4.400;5.700
 -75 ° ;  ;  ;1.360;1.890;2.600;3.500;4.800;6.500
 -80 ° ;  ;  ;1.270;1.840;2.650;3.700;5.200;7.400
 -85 ° ;  ;  ;1.170;1.780;2.650;3.900;5.800;8.600
 -90 ° ;  ;  ;1.050;1.700;2.650;4.100;6.400;10.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;1.000;1.020;1.030;1.040;1.050;1.060;1.060;1.060
 10 ° ;1.070;1.110;1.140;1.160;1.190;1.210;1.210;1.220
 5 ° ;1.130;1.190;1.240;1.280;1.330;1.360;1.380;1.380
 0 ° ;1.170;1.260;1.330;1.400;1.460;1.510;1.540;1.580
 -5 ° ;1.210;1.320;1.410;1.510;1.600;1.670;1.740;1.770
 -10 ° ;1.230;1.360;1.480;1.610;1.720;1.840;1.940;2.000
 -15 ° ;1.240;1.390;1.540;1.700;1.840;2.000;2.150;2.250
 -20 ° ;1.240;1.410;1.590;1.780;1.970;2.150;2.350;2.500
 -25 ° ;1.230;1.420;1.630;1.850;2.100;2.350;2.600;2.850
 -30 ° ;1.220;1.430;1.660;1.910;2.200;2.500;2.800;3.200
 -35 ° ;1.200;1.420;1.680;1.960;2.300;2.650;3.000;3.500
 -40 ° ;1.160;1.400;1.690;2.000;2.400;2.850;3.300;3.900
 -45 ° ;1.120;1.380;1.690;2.050;2.500;3.000;3.600;4.400
 -50 ° ;1.070;1.340;1.680;2.100;2.600;3.200;3.900;4.900
 -55 ° ;1.000;1.300;1.660;2.100;2.650;3.400;4.300;5.500
 -60 ° ;  ;1.240;1.630;2.100;2.750;3.600;4.700;6.200
 -65 ° ;  ;1.170;1.580;2.100;2.850;3.800;5.200;7.100
 -70 ° ;  ;1.090;1.520;2.100;2.900;4.000;5.700;8.200
 -75 ° ;  ;  ;1.440;2.100;3.000;4.300;6.300;9.400
 -80 ° ;  ;  ;1.350;2.050;3.000;4.500;7.000;11.000
 -85 ° ;  ;  ;1.240;1.960;3.100;4.800;7.700;13.000
 -90 ° ;  ;  ;1.120;1.870;3.100;5.100;8.700;15.400
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;1.000;1.000;1.000
 20 ° ;  ;1.020;1.050;1.080;1.110;1.140;1.160;1.160
 15 ° ;1.070;1.120;1.170;1.210;1.260;1.290;1.320;1.340
 10 ° ;1.130;1.200;1.270;1.340;1.400;1.450;1.500;1.530
 5 ° ;1.180;1.270;1.370;1.460;1.540;1.630;1.700;1.760
 0 ° ;1.220;1.340;1.450;1.570;1.680;1.800;1.900;1.990
 -5 ° ;1.250;1.380;1.520;1.670;1.820;1.980;2.100;2.250
 -10 ° ;1.270;1.420;1.590;1.770;1.960;2.150;2.350;2.550
 -15 ° ;1.280;1.450;1.640;1.850;2.100;2.300;2.500;2.900
 -20 ° ;1.270;1.470;1.690;1.930;2.200;2.500;2.850;3.200
 -25 ° ;1.260;1.480;1.730;2.000;2.300;2.700;3.100;3.600
 -30 ° ;1.250;1.480;1.760;2.050;2.450;2.850;3.400;4.000
 -35 ° ;1.220;1.470;1.780;2.150;2.550;3.100;3.700;4.500
 -40 ° ;1.190;1.460;1.790;2.200;2.700;3.300;4.100;5.100
 -45 ° ;1.140;1.430;1.790;2.250;2.800;3.500;4.500;5.700
 -50 ° ;1.090;1.390;1.780;2.250;2.900;3.700;4.900;6.500
 -55 ° ;1.020;1.340;1.750;2.300;3.000;4.000;5.400;7.200
 -60 ° ;  ;1.280;1.720;2.300;3.100;4.200;5.900;8.600
 -65 ° ;  ;1.210;1.670;2.300;3.200;4.500;6.600;10.000
 -70 ° ;  ;1.120;1.600;2.300;3.300;4.800;7.300;11.600
 -75 ° ;  ;1.020;1.520;2.250;3.400;5.200;8.200;13.600
 -80 ° ;  ;  ;1.420;2.200;3.500;5.500;9.200;16.100
 -85 ° ;  ;  ;1.310;2.150;3.500;5.900;10.300;19.400
 -90 ° ;  ;  ;1.270;2.050;3.600;6.300;11.800;22.500
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;1.000;1.000
 25 ° ;  ;  ;1.060;1.060;1.100;1.130;1.150;1.170
 20 ° ;1.040;1.090;1.170;1.190;1.220;1.280;1.330;1.350
 15 ° ;1.100;1.180;1.250;1.320;1.380;1.450;1.510;1.550
 10 ° ;1.160;1.260;1.350;1.440;1.530;1.630;1.710;1.780
 5 ° ;1.210;1.320;1.430;1.560;1.680;1.810;1.930;2.050
 0 ° ;1.240;1.380;1.510;1.670;1.820;1.990;2.150;2.300
 -5 ° ;1.270;1.420;1.580;1.770;1.960;2.150;2.400;2.600
 -10 ° ;1.290;1.460;1.660;1.860;2.100;2.350;2.650;2.950
 -15 ° ;1.300;1.490;1.710;1.950;2.200;2.550;2.900;3.300
 -20 ° ;1.290;1.500;1.750;2.050;2.350;2.750;3.200;3.700
 -25 ° ;1.280;1.510;1.790;2.100;2.500;2.950;3.500;4.200
 -30 ° ;1.260;1.510;1.820;2.200;2.600;3.200;3.800;4.700
 -35 ° ;1.240;1.500;1.840;2.250;2.750;3.400;4.200;5.300
 -40 ° ;1.200;1.480;1.850;2.300;2.900;3.600;4.600;6.100
 -45 ° ;1.150;1.460;1.840;2.350;3.000;3.800;5.100;6.900
 -50 ° ;1.100;1.420;1.830;2.400;3.100;4.100;5.600;7.900
 -55 ° ;1.030;1.360;1.800;2.400;3.200;4.400;6.200;9.100
 -60 ° ;  ;1.300;1.770;2.400;3.300;4.600;6.900;10.600
 -65 ° ;  ;1.230;1.720;2.400;3.400;5.000;7.700;12.400
 -70 ° ;  ;1.140;1.640;2.400;3.500;5.400;8.600;14.600
 -75 ° ;  ;1.040;1.560;2.350;3.600;5.800;9.700;17.400
 -80 ° ;  ;  ;1.460;2.300;3.700;6.300;11.000;21.000
 -85 ° ;  ;  ;1.340;2.250;3.800;6.700;12.400;25.000
 -90 ° ;  ;  ;1.200;2.150;3.900;7.200;14.200;30.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;1.000;1.010;1.040;1.060;1.080
 25 ° ;  ;1.020;1.070;1.110;1.150;1.190;1.230;1.250
 20 ° ;1.050;1.110;1.180;1.240;1.290;1.360;1.410;1.450
 15 ° ;1.120;1.200;1.290;1.360;1.450;1.530;1.600;1.670
 10 ° ;1.180;1.280;1.380;1.490;1.600;1.710;1.820;1.910
 5 ° ;1.220;1.340;1.470;1.600;1.740;1.900;2.050;2.200
 0 ° ;1.250;1.400;1.550;1.710;1.880;2.100;2.250;2.500
 -5 ° ;1.280;1.440;1.620;1.820;2.050;2.250;2.550;2.800
 -10 ° ;1.300;1.480;1.680;1.920;2.200;2.450;2.800;3.200
 -15 ° ;1.300;1.500;1.740;1.990;2.450;2.650;3.100;3.600
 -20 ° ;1.300;1.520;1.780;2.100;2.600;2.850;3.400;4.000
 -25 ° ;1.280;1.530;1.820;2.150;2.700;3.100;3.700;4.500
 -30 ° ;1.260;1.530;1.850;2.200;2.900;3.300;4.100;5.100
 -35 ° ;1.240;1.520;1.870;2.300;3.000;3.500;4.500;5.900
 -40 ° ;1.210;1.500;1.880;2.350;3.200;3.800;4.900;6.600
 -45 ° ;1.160;1.470;1.870;2.400;3.300;4.100;5.400;7.600
 -50 ° ;1.100;1.430;1.860;2.450;3.400;4.400;6.000;8.700
 -55 ° ;1.040;1.380;1.840;2.450;3.600;4.700;6.700;10.200
 -60 ° ;  ;1.320;1.800;2.450;3.700;5.000;7.400;11.900
 -65 ° ;  ;1.240;1.740;2.450;3.800;5.300;8.400;13.900
 -70 ° ;  ;1.150;1.680;2.450;3.900;5.700;9.300;16.400
 -75 ° ;  ;1.040;1.580;2.400;4.000;6.100;10.500;19.600
 -80 ° ;  ;  ;1.480;2.350;4.200;6.800;12.000;23.500
 -85 ° ;  ;  ;1.360;2.300;4.300;7.100;13.600;29.000
 -90 ° ;  ;  ;1.220;2.200;4.400;7.700;15.600;35.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;1.000;1.000;1.020;1.060;1.090;1.110
 30 ° ;  ;1.010;1.110;1.120;1.170;1.220;1.260;1.310
 25 ° ;1.030;1.100;1.220;1.250;1.320;1.390;1.470;1.520
 20 ° ;1.100;1.190;1.320;1.380;1.470;1.570;1.680;1.770
 15 ° ;1.150;1.270;1.420;1.500;1.630;1.770;1.900;2.050
 10 ° ;1.210;1.330;1.510;1.620;1.780;1.960;2.150;2.350
 5 ° ;1.250;1.390;1.590;1.730;1.930;2.150;2.400;2.650
 0 ° ;1.280;1.440;1.670;1.840;2.100;2.350;2.650;3.000
 -5 ° ;1.310;1.490;1.710;1.940;2.200;2.550;2.950;3.400
 -10 ° ;1.320;1.520;1.760;2.050;2.350;2.750;3.300;3.900
 -15 ° ;1.330;1.550;1.820;2.100;2.500;3.000;3.600;4.400
 -20 ° ;1.320;1.560;1.860;2.200;2.650;3.200;4.000;5.000
 -25 ° ;1.310;1.580;1.900;2.300;2.800;3.500;4.400;5.700
 -30 ° ;1.290;1.580;1.930;2.350;2.950;3.700;4.800;6.500
 -35 ° ;1.260;1.560;1.950;2.450;3.100;4.000;5.400;7.500
 -40 ° ;1.220;1.540;1.960;2.500;3.300;4.300;6.000;8.600
 -45 ° ;1.180;1.510;1.950;2.550;3.400;4.600;6.600;10.000
 -50 ° ;1.120;1.470;1.940;2.600;3.500;5.000;7.400;11.600
 -55 ° ;1.050;1.420;1.910;2.600;3.700;5.400;8.300;13.500
 -60 ° ;  ;1.350;1.860;2.600;3.800;5.800;9.300;16.200
 -65 ° ;  ;1.250;1.810;2.650;3.900;6.300;10.500;19.300
 -70 ° ;  ;1.170;1.740;2.600;4.100;7.000;11.900;23.500
 -75 ° ;  ;1.070;1.640;2.600;4.200;7.200;13.500;28.000
 -80 ° ;  ;  ;1.540;2.500;4.300;7.800;15.400;34.000
 -85 ° ;  ;  ;1.410;2.450;4.400;8.500;17.800;42.000
 -90 ° ;  ;  ;1.280;2.350;4.500;9.100;20.500;51.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;1.000
 35 ° ;  ;  ;  ;1.020;1.070;1.110;1.150;1.190
 30 ° ;  ;1.030;1.100;1.160;1.220;1.280;1.350;1.400
 25 ° ;1.050;1.120;1.210;1.290;1.370;1.460;1.550;1.630
 20 ° ;1.120;1.210;1.310;1.420;1.520;1.650;1.770;1.900
 15 ° ;1.170;1.290;1.410;1.540;1.680;1.840;2.000;2.200
 10 ° ;1.220;1.350;1.490;1.660;1.840;2.050;2.250;2.500
 5 ° ;1.260;1.410;1.580;1.770;1.980;2.250;2.500;2.850
 0 ° ;1.290;1.460;1.660;1.870;2.150;2.450;2.800;3.200
