 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 25 ° ;1.180;1.360;1.560;1.820;2.100;2.500;3.000;3.600
 20 ° ;1.250;1.450;1.690;1.990;2.350;2.800;3.400;4.300
 15 ° ;1.310;1.540;1.810;2.150;2.600;3.100;3.900;5.000
 10 ° ;1.360;1.620;1.930;2.350;2.850;3.500;4.500;5.800
 5 ° ;1.410;1.700;2.050;2.500;3.100;3.900;5.100;6.900
 0 ° ;1.450;1.760;2.150;2.700;3.400;4.400;5.800;8.100
 -5 ° ;1.480;1.820;2.250;2.850;3.700;4.900;6.700;9.600
 -10 ° ;1.500;1.880;2.350;3.000;4.000;5.400;7.700;11.500
 -15 ° ;1.510;1.930;2.450;3.200;4.300;6.000;8.800;13.700
 -20 ° ;1.520;1.960;2.550;3.400;4.700;6.700;10.100;16.400
 -25 ° ;1.510;1.990;2.650;3.600;5.100;7.500;11.700;19.800
 -30 ° ;1.500;2.000;2.700;3.800;5.500;8.300;13.500;24.000
 -35 ° ;1.470;2.000;2.800;4.000;5.900;9.300;15.600;29.000
 -40 ° ;1.440;1.990;2.850;4.200;6.400;10.300;18.200;35.000
 -45 ° ;1.390;1.980;2.900;4.400;6.900;11.500;21.000;43.000
 -50 ° ;1.330;1.940;2.900;4.500;7.400;12.900;25.000;53.000
 -55 ° ;1.260;1.900;2.950;4.700;8.000;14.500;29.000;66.000
 -60 ° ;1.180;1.840;2.950;4.900;8.600;16.300;34.000;82.000
 -65 ° ;1.090;1.760;2.900;5.000;9.200;18.400;40.000;102.000
 -70 ° ;  ;1.660;2.900;5.200;10.000;21.000;48.000;127.000
 -75 ° ;  ;1.560;2.850;5.400;10.800;23.500;57.000;160.000
 -80 ° ;  ;1.440;2.750;5.500;11.600;26.500;68.000;199.000
 -85 ° ;  ;1.290;2.650;5.600;12.600;30.000;81.000;250.000
 -90 ° ;  ;1.120;2.550;5.800;13.700;35.000;98.000;310.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.050;1.170;1.340;1.510;1.710
 45 ° ;  ;  ;1.080;1.220;1.380;1.580;1.810;2.100
 40 ° ;  ;1.080;1.230;1.400;1.600;1.860;2.150;2.550
 35 ° ;1.050;1.200;1.380;1.570;1.830;2.150;2.550;3.100
 30 ° ;1.130;1.300;1.520;1.750;2.050;2.450;2.950;3.600
 25 ° ;1.210;1.410;1.640;1.930;2.300;2.750;3.400;4.200
 20 ° ;1.270;1.500;1.760;2.100;2.500;3.100;3.900;5.000
 15 ° ;1.340;1.580;1.890;2.250;2.800;3.500;4.500;5.900
 10 ° ;1.390;1.660;2.000;2.450;3.000;3.900;5.100;7.000
 5 ° ;1.430;1.740;2.150;2.650;3.000;4.300;5.900;8.200
 0 ° ;1.470;1.800;2.250;2.850;3.600;4.800;6.700;9.800
 -5 ° ;1.500;1.870;2.350;3.000;4.000;5.400;7.700;11.600
 -10 ° ;1.520;1.920;2.450;3.200;4.300;6.000;8.800;13.900
 -15 ° ;1.540;1.970;2.550;3.400;4.700;6.700;10.200;16.700
 -20 ° ;1.540;2.000;2.650;3.600;5.100;7.400;11.800;20.000
 -25 ° ;1.530;2.050;2.750;3.800;5.500;8.300;13.600;24.500
 -30 ° ;1.520;2.050;2.800;4.000;5.900;9.300;15.700;30.000
 -35 ° ;1.490;2.050;2.900;4.200;6.400;10.400;18.300;36.000
 -40 ° ;1.450;2.050;2.950;4.400;6.900;11.600;21.500;44.000
 -45 ° ;1.400;2.000;3.000;4.600;7.400;13.000;25.000;55.000
 -50 ° ;1.340;1.990;3.000;4.800;8.000;14.600;29.500;68.000
 -55 ° ;1.270;1.930;3.000;5.000;8.600;16.400;35.000;84.000
 -60 ° ;1.190;1.870;3.000;5.200;9.300;18.400;41.000;104.000
 -65 ° ;1.100;1.790;3.000;5.300;10.000;21.000;48.000;131.000
 -70 ° ;1.000;1.700;3.000;5.500;10.900;23.500;58.000;164.000
 -75 ° ;  ;1.590;2.950;5.700;11.800;27.000;68.000;205.000
 -80 ° ;  ;1.460;2.850;5.800;12.700;30.000;82.000;256.000
 -85 ° ;  ;1.310;2.750;6.000;13.800;35.000;98.000;320.000
 -90 ° ;  ;1.140;2.650;6.100;15.000;40.000;118.000;400.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.070;1.220;1.390;1.620;1.890;2.250
 45 ° ;  ;1.060;1.210;1.400;1.620;1.890;2.250;2.700
 40 ° ;1.010;1.170;1.350;1.580;1.830;2.150;2.600;3.200
 35 ° ;1.090;1.270;1.480;1.750;2.050;2.450;3.000;3.800
 30 ° ;1.170;1.370;1.600;1.920;2.250;2.800;3.500;4.400
 25 ° ;1.240;1.460;1.730;2.100;2.500;3.100;4.000;5.300
 20 ° ;1.310;1.540;1.860;2.250;2.800;3.500;4.600;6.300
 15 ° ;1.370;1.640;1.980;2.450;3.100;4.000;5.300;7.500
 10 ° ;1.420;1.720;2.100;2.650;3.400;4.500;6.100;8.900
 5 ° ;1.460;1.800;2.250;2.850;3.700;5.000;7.000;10.600
 0 ° ;1.500;1.860;2.350;3.000;4.000;5.600;8.100;12.600
 -5 ° ;1.530;1.930;2.500;3.200;4.300;6.200;9.300;15.100
 -10 ° ;1.550;1.980;2.600;3.400;4.800;6.900;10.800;18.500
 -15 ° ;1.570;2.050;2.700;3.700;5.200;7.700;12.500;22.500
 -20 ° ;1.570;2.050;2.800;3.900;5.600;8.600;14.400;27.000
 -25 ° ;1.550;2.100;2.900;4.100;6.100;9.600;16.900;33.000
 -30 ° ;1.540;2.100;2.950;4.300;6.600;10.800;19.600;41.000
 -35 ° ;1.510;2.100;3.000;4.500;7.100;12.100;23.000;50.000
 -40 ° ;1.480;2.100;3.100;4.700;7.700;13.600;27.000;62.000
 -45 ° ;1.420;2.100;3.100;4.900;8.300;15.200;32.000;76.000
 -50 ° ;1.360;2.050;3.200;5.100;9.000;17.200;38.000;95.000
 -55 ° ;1.280;1.990;3.200;5.300;9.700;19.400;44.000;117.000
 -60 ° ;1.210;1.920;3.200;5.500;10.500;22.000;52.000;147.000
 -65 ° ;1.110;1.840;3.200;5.700;11.300;25.000;62.000;185.000
 -70 ° ;1.010;1.740;3.100;5.900;12.300;28.000;74.000;230.000
 -75 ° ;  ;1.630;3.100;6.100;13.300;32.000;89.000;290.000
 -80 ° ;  ;1.500;3.000;6.300;14.500;37.000;106.000;360.000
 -85 ° ;  ;1.350;2.900;6.500;15.700;42.000;127.000;460.000
 -90 ° ;  ;1.170;2.750;6.700;17.200;48.000;153.000;570.000
