 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;1.050;1.060;1.050;1.000;1.000;  ;  ;  
 -5 ° ;1.120;1.160;1.180;1.180;1.170;1.140;1.100;1.050
 -10 ° ;1.170;1.240;1.300;1.330;1.350;1.330;1.300;1.270
 -15 ° ;1.200;1.310;1.400;1.470;1.520;1.520;1.530;1.500
 -20 ° ;1.220;1.360;1.480;1.590;1.680;1.730;1.770;1.750
 -25 ° ;1.230;1.390;1.540;1.700;1.840;1.930;2.050;2.050
 -30 ° ;1.220;1.410;1.600;1.800;2.000;2.150;2.300;2.400
 -35 ° ;1.200;1.420;1.650;1.880;2.100;2.350;2.550;2.750
 -40 ° ;1.170;1.420;1.680;1.960;2.250;2.550;2.800;3.100
 -45 ° ;1.140;1.410;1.710;2.050;2.400;2.800;3.100;3.500
 -50 ° ;1.100;1.390;1.730;2.100;2.550;3.000;3.500;4.000
 -55 ° ;1.050;1.360;1.740;2.200;2.700;3.300;3.900;4.600
 -60 ° ;  ;1.320;1.740;2.250;2.850;3.600;4.400;5.300
 -65 ° ;  ;1.260;1.720;2.300;3.000;3.900;5.000;6.200
 -70 ° ;  ;1.200;1.700;2.350;3.200;4.200;5.600;7.200
 -75 ° ;  ;1.120;1.650;2.350;3.300;4.600;6.300;8.400
 -80 ° ;  ;1.030;1.600;2.400;3.500;5.000;7.000;10.000
 -85 ° ;  ;  ;1.520;2.400;3.600;5.400;8.100;12.000
 -90 ° ;  ;  ;1.430;2.400;3.800;5.900;9.200;14.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;1.010;1.020;1.020;1.020;1.020;1.000;  ;  
 5 ° ;1.100;1.140;1.160;1.180;1.200;1.200;1.200;1.200
 0 ° ;1.170;1.240;1.300;1.350;1.390;1.420;1.420;1.430
 -5 ° ;1.220;1.320;1.420;1.500;1.590;1.650;1.680;1.680
 -10 ° ;1.260;1.390;1.530;1.650;1.770;1.870;1.950;2.000
 -15 ° ;1.280;1.450;1.620;1.800;1.950;2.100;2.250;2.350
 -20 ° ;1.290;1.490;1.690;1.900;2.150;2.350;2.550;2.700
 -25 ° ;1.290;1.520;1.760;2.000;2.300;2.600;2.900;3.200
 -30 ° ;1.280;1.530;1.820;2.100;2.450;2.850;3.200;3.600
 -35 ° ;1.260;1.540;1.860;2.200;2.600;3.100;3.600;4.200
 -40 ° ;1.240;1.540;1.900;2.350;2.800;3.400;4.000;4.800
 -45 ° ;1.200;1.530;1.940;2.400;3.000;3.700;4.500;5.500
 -50 ° ;1.150;1.510;1.960;2.500;3.200;4.000;5.000;6.400
 -55 ° ;1.100;1.480;1.980;2.600;3.400;4.400;5.700;7.300
 -60 ° ;1.030;1.440;1.970;2.650;3.600;4.800;6.400;8.700
 -65 ° ;  ;1.380;1.950;2.700;3.800;5.300;7.300;10.100
 -70 ° ;  ;1.300;1.920;2.800;4.000;5.800;8.400;12.500
 -75 ° ;  ;1.220;1.880;2.850;4.200;6.300;9.500;15.000
 -80 ° ;  ;1.120;1.820;2.850;4.500;7.000;11.000;18.000
 -85 ° ;  ;1.010;1.760;2.900;4.700;7.700;12.500;22.000
 -90 ° ;  ;  ;1.640;2.900;5.000;8.500;14.600;26.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
