 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -65 ° ;  ;1.100;1.410;1.760;2.150;2.600;3.000;3.400
 -70 ° ;  ;1.040;1.360;1.760;2.200;2.750;3.200;3.800
 -75 ° ;  ;  ;1.330;1.770;2.300;2.900;3.600;4.400
 -80 ° ;  ;  ;1.250;1.750;2.350;3.100;4.000;4.900
 -85 ° ;  ;  ;1.180;1.730;2.400;3.300;4.400;5.700
 -90 ° ;  ;  ;1.090;1.670;2.450;3.500;4.800;6.700
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;1.060;1.060;1.050;1.030;  ;  ;  ;  
 -10 ° ;1.110;1.140;1.160;1.160;1.120;1.100;1.060;1.020
 -15 ° ;1.140;1.210;1.260;1.270;1.270;1.260;1.230;1.170
 -20 ° ;1.160;1.260;1.340;1.390;1.410;1.410;1.390;1.330
 -25 ° ;1.170;1.290;1.400;1.480;1.530;1.570;1.580;1.550
 -30 ° ;1.160;1.310;1.440;1.560;1.660;1.720;1.750;1.760
 -35 ° ;1.140;1.310;1.480;1.630;1.770;1.890;1.900;1.980
 -40 ° ;1.110;1.300;1.500;1.690;1.880;2.050;2.150;2.250
 -45 ° ;1.080;1.290;1.510;1.740;1.980;2.200;2.350;2.500
 -50 ° ;1.060;1.270;1.520;1.780;2.100;2.350;2.600;2.800
 -55 ° ;  ;1.240;1.520;1.830;2.150;2.500;2.850;3.100
 -60 ° ;  ;1.190;1.500;1.840;2.250;2.650;3.100;3.400
 -65 ° ;  ;1.130;1.480;1.870;2.300;2.850;3.400;4.000
 -70 ° ;  ;1.070;1.440;1.870;2.400;3.000;3.800;4.500
 -75 ° ;  ;  ;1.390;1.880;2.500;3.200;4.100;5.000
 -80 ° ;  ;  ;1.320;1.860;2.550;3.400;4.600;5.900
 -85 ° ;  ;  ;1.240;1.840;2.650;3.700;5.000;7.000
 -90 ° ;  ;  ;1.140;1.800;2.700;3.900;5.600;8.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.040;1.040;1.040;1.030;1.010;1.000;  ;  
 0 ° ;1.100;1.140;1.160;1.180;1.170;1.160;1.160;1.120
 -5 ° ;1.160;1.220;1.280;1.300;1.320;1.340;1.330;1.300
 -10 ° ;1.190;1.290;1.370;1.440;1.480;1.510;1.520;1.510
 -15 ° ;1.210;1.340;1.450;1.550;1.630;1.700;1.750;1.730
 -20 ° ;1.230;1.380;1.520;1.660;1.780;1.880;1.940;1.980
 -25 ° ;1.230;1.400;1.580;1.740;1.900;2.100;2.200;2.250
 -30 ° ;1.220;1.410;1.620;1.830;2.050;2.250;2.450;2.600
 -35 ° ;1.190;1.420;1.650;1.900;2.150;2.450;2.650;2.900
 -40 ° ;1.160;1.400;1.680;1.970;2.300;2.600;2.950;3.200
 -45 ° ;1.140;1.390;1.690;2.000;2.400;2.800;3.200;3.700
 -50 ° ;1.090;1.370;1.700;2.100;2.500;3.000;3.600;4.100
 -55 ° ;1.030;1.330;1.700;2.150;2.650;3.300;3.900;4.700
 -60 ° ;  ;1.280;1.690;2.150;2.750;3.500;4.300;5.300
 -65 ° ;  ;1.220;1.650;2.200;2.850;3.800;4.800;6.100
 -70 ° ;  ;1.150;1.610;2.200;3.000;4.000;5.400;7.000
 -75 ° ;  ;1.070;1.560;2.200;3.100;4.300;5.900;8.200
 -80 ° ;  ;  ;1.490;2.200;3.200;4.600;6.700;9.500
 -85 ° ;  ;  ;1.390;2.200;3.300;5.000;7.600;11.200
 -90 ° ;  ;  ;1.290;2.150;3.400;5.400;8.500;13.400
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.070;1.090;1.110;1.120;1.120;1.120;1.100;1.090
 0 ° ;1.140;1.190;1.230;1.260;1.300;1.280;1.280;1.260
 -5 ° ;1.180;1.270;1.340;1.390;1.440;1.480;1.480;1.470
 -10 ° ;1.210;1.330;1.430;1.520;1.600;1.660;1.680;1.700
 -15 ° ;1.240;1.380;1.510;1.640;1.750;1.850;1.920;1.950
 -20 ° ;1.250;1.410;1.580;1.750;1.900;2.050;2.150;2.200
 -25 ° ;1.250;1.430;1.640;1.830;2.050;2.250;2.400;2.550
 -30 ° ;1.230;1.450;1.680;1.910;2.150;2.400;2.650;2.900
 -35 ° ;1.210;1.450;1.710;1.990;2.300;2.650;2.900;3.200
 -40 ° ;1.180;1.440;1.740;2.050;2.400;2.800;3.200;3.600
 -45 ° ;1.150;1.420;1.750;2.100;2.550;3.000;3.500;4.200
 -50 ° ;1.100;1.400;1.760;2.200;2.700;3.300;3.900;4.600
 -55 ° ;1.040;1.360;1.760;2.250;2.800;3.500;4.300;5.300
 -60 ° ;  ;1.310;1.740;2.300;2.950;3.800;4.800;6.100
 -65 ° ;  ;1.250;1.710;2.300;3.100;4.100;5.300;7.000
 -70 ° ;  ;1.180;1.670;2.300;3.200;4.300;5.900;8.200
 -75 ° ;  ;1.090;1.610;2.350;3.300;4.800;6.700;9.500
 -80 ° ;  ;  ;1.540;2.300;3.500;5.100;7.500;11.000
 -85 ° ;  ;  ;1.450;2.300;3.600;5.500;8.600;13.200
 -90 ° ;  ;  ;1.340;2.250;3.700;6.000;9.600;15.800
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;1.000;1.000;1.000;1.000
 10 ° ;1.060;1.090;1.120;1.130;1.160;1.170;1.180;1.180
 5 ° ;1.130;1.190;1.240;1.300;1.320;1.350;1.370;1.380
 0 ° ;1.190;1.280;1.350;1.420;1.490;1.540;1.580;1.600
 -5 ° ;1.230;1.340;1.450;1.560;1.650;1.750;1.800;1.850
 -10 ° ;1.260;1.400;1.540;1.680;1.820;1.870;2.050;2.100
 -15 ° ;1.270;1.440;1.620;1.790;1.980;2.150;2.300;2.450
 -20 ° ;1.280;1.470;1.680;1.900;2.100;2.350;2.600;2.800
 -25 ° ;1.280;1.490;1.730;1.980;2.250;2.600;2.900;3.100
 -30 ° ;1.260;1.500;1.780;2.050;2.400;2.750;3.200;3.600
 -35 ° ;1.240;1.510;1.810;2.150;2.550;3.000;3.500;4.100
 -40 ° ;1.210;1.500;1.840;2.250;2.700;3.200;3.900;4.600
 -45 ° ;1.180;1.480;1.860;2.300;2.850;3.500;4.300;5.200
 -50 ° ;1.120;1.460;1.860;2.350;3.000;3.800;4.800;6.000
 -55 ° ;1.060;1.420;1.860;2.400;3.200;4.100;5.300;6.800
 -60 ° ;  ;1.360;1.840;2.450;3.300;4.400;5.900;7.800
 -65 ° ;  ;1.300;1.810;2.500;3.500;4.800;6.600;9.200
 -70 ° ;  ;1.220;1.760;2.500;3.600;5.100;7.400;10.800
 -75 ° ;  ;1.130;1.710;2.550;3.800;5.600;8.400;13.000
 -80 ° ;  ;1.020;1.640;2.550;3.900;6.000;9.500;15.200
 -85 ° ;  ;  ;1.540;2.500;4.100;6.700;10.800;18.100
 -90 ° ;  ;  ;1.420;2.500;4.300;7.200;12.400;22.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;1.000
 20 ° ;  ;1.000;1.030;1.070;1.090;1.110;1.150;1.180
 15 ° ;1.060;1.120;1.170;1.220;1.270;1.320;1.350;1.400
 10 ° ;1.140;1.220;1.300;1.370;1.440;1.520;1.590;1.630
 5 ° ;1.200;1.310;1.410;1.520;1.620;1.720;1.810;1.900
 0 ° ;1.250;1.380;1.520;1.650;1.800;1.930;2.100;2.200
 -5 ° ;1.280;1.440;1.610;1.780;1.970;2.150;2.350;2.500
 -10 ° ;1.310;1.500;1.690;1.910;2.150;2.400;2.650;2.900
 -15 ° ;1.320;1.530;1.760;2.000;2.300;2.600;2.950;3.300
 -20 ° ;1.320;1.560;1.820;2.100;2.450;2.850;3.300;3.800
 -25 ° ;1.320;1.580;1.880;2.200;2.600;3.100;3.700;4.300
 -30 ° ;1.300;1.590;1.920;2.300;2.800;3.300;4.100;4.900
 -35 ° ;1.280;1.590;1.960;2.400;2.950;3.700;4.500;5.500
 -40 ° ;1.250;1.580;1.990;2.500;3.100;4.000;5.000;6.300
 -45 ° ;1.210;1.560;2.000;2.550;3.300;4.300;5.600;7.400
 -50 ° ;1.160;1.530;2.000;2.650;3.500;4.700;6.300;8.500
 -55 ° ;1.100;1.490;2.000;2.700;3.700;5.000;7.000;10.000
 -60 ° ;1.020;1.430;1.990;2.750;3.900;5.500;7.900;11.600
 -65 ° ;  ;1.360;1.960;2.800;4.100;5.900;9.000;13.800
 -70 ° ;  ;1.280;1.900;2.850;4.300;6.500;10.200;16.500
 -75 ° ;  ;1.180;1.840;2.850;4.500;7.100;11.500;19.800
 -80 ° ;  ;1.070;1.760;2.850;4.700;7.600;13.300;24.000
 -85 ° ;  ;  ;1.660;2.850;4.900;8.500;15.400;29.000
 -90 ° ;  ;  ;1.540;2.800;5.100;9.400;17.900;36.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;1.000;1.050;1.100;1.140
 25 ° ;  ;1.020;1.070;1.120;1.180;1.240;1.300;1.350
 20 ° ;1.060;1.120;1.200;1.280;1.350;1.440;1.520;1.600
 15 ° ;1.130;1.230;1.330;1.430;1.540;1.650;1.770;1.880
 10 ° ;1.200;1.320;1.450;1.580;1.720;1.880;2.000;2.200
 5 ° ;1.250;1.400;1.560;1.720;1.900;2.100;2.300;2.550
 0 ° ;1.290;1.460;1.650;1.850;2.100;2.350;2.600;2.900
 -5 ° ;1.320;1.520;1.740;2.000;2.250;2.600;2.950;3.300
 -10 ° ;1.350;1.570;1.820;2.100;2.450;2.800;3.300;3.800
 -15 ° ;1.360;1.600;1.890;2.200;2.600;3.100;3.700;4.400
 -20 ° ;1.360;1.630;1.950;2.350;2.800;3.400;4.100;5.000
 -25 ° ;1.360;1.650;2.000;2.450;3.000;3.700;4.600;5.700
 -30 ° ;1.340;1.660;2.050;2.550;3.200;4.000;5.100;6.600
 -35 ° ;1.310;1.660;2.100;2.650;3.400;4.300;5.700;7.600
 -40 ° ;1.280;1.640;2.100;2.750;3.600;4.700;6.400;8.800
 -45 ° ;1.240;1.620;2.150;2.850;3.800;5.200;7.200;10.400
 -50 ° ;1.180;1.590;2.150;2.900;4.000;5.600;8.100;12.200
 -55 ° ;1.120;1.550;2.150;3.000;4.200;6.100;9.200;14.200
 -60 ° ;1.040;1.480;2.100;3.000;4.500;6.700;10.500;17.200
 -65 ° ;  ;1.410;2.100;3.100;4.700;7.400;11.900;20.500
 -70 ° ;  ;1.330;2.050;3.100;4.900;8.000;13.700;24.500
 -75 ° ;  ;1.230;1.970;3.200;5.200;8.800;15.800;30.000
 -80 ° ;  ;1.110;1.880;3.200;5.500;9.700;18.400;37.000
 -85 ° ;  ;  ;1.770;3.200;5.700;10.800;21.000;45.000
 -90 ° ;  ;  ;1.640;3.100;6.000;12.000;25.000;56.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;1.000;1.050;1.100;1.160
 30 ° ;  ;  ;1.030;1.100;1.160;1.240;1.310;1.370
 25 ° ;1.020;1.100;1.170;1.250;1.350;1.440;1.520;1.640
 20 ° ;1.100;1.200;1.300;1.420;1.530;1.650;1.780;1.920
 15 ° ;1.170;1.300;1.420;1.560;1.720;1.880;2.050;2.250
 10 ° ;1.240;1.370;1.530;1.720;1.900;2.100;2.350;2.600
 5 ° ;1.280;1.450;1.640;1.850;2.100;2.350;2.650;3.000
 0 ° ;1.320;1.510;1.730;1.980;2.300;2.600;3.000;3.500
 -5 ° ;1.350;1.560;1.820;2.100;2.450;2.850;3.400;4.000
 -10 ° ;1.370;1.620;1.900;2.250;2.650;3.100;  ;4.500
 -15 ° ;1.380;1.650;1.960;2.350;2.850;3.500;4.200;5.200
 -20 ° ;1.380;1.680;2.050;2.500;3.000;3.800;4.700;6.000
 -25 ° ;1.380;1.690;2.100;2.600;3.200;4.100;5.300;7.000
 -30 ° ;1.360;1.700;2.150;2.700;3.400;4.500;5.900;8.000
 -35 ° ;1.330;1.700;2.200;2.800;3.700;4.900;6.700;9.400
 -40 ° ;1.300;1.680;2.200;2.900;3.900;5.300;7.500;11.000
 -45 ° ;1.250;1.660;2.200;3.000;4.100;5.800;8.500;13.000
 -50 ° ;1.200;1.630;2.250;3.100;4.400;6.300;9.600;15.300
 -55 ° ;1.130;1.580;2.200;3.200;4.600;7.000;11.000;18.200
 -60 ° ;1.050;1.520;2.200;3.200;4.900;7.600;12.600;22.000
 -65 ° ;  ;1.440;2.150;3.300;5.100;8.400;14.400;26.500
 -70 ° ;  ;1.360;2.100;3.400;5.400;9.200;16.600;32.000
 -75 ° ;  ;1.250;2.050;3.400;5.700;10.200;19.300;40.000
 -80 ° ;  ;1.140;2.000;3.400;6.000;11.200;22.500;49.000
 -85 ° ;  ;1.000;1.840;3.400;6.400;12.500;26.000;60.000
 -90 ° ;  ;  ;1.710;3.300;7.000;13.900;31.000;75.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;1.000;1.060
 35 ° ;  ;  ;  ;1.000;1.070;1.140;1.200;1.260
 30 ° ;  ;1.020;1.080;1.160;1.240;1.320;1.420;1.500
 25 ° ;1.040;1.130;1.220;1.320;1.430;1.540;1.650;1.790
 20 ° ;1.130;1.230;1.340;1.480;1.610;1.760;1.920;2.100
 15 ° ;1.190;1.320;1.470;1.630;1.800;2.000;2.200;2.450
 10 ° ;1.250;1.400;1.580;1.770;1.990;2.250;2.550;2.850
 5 ° ;1.300;1.480;1.680;1.910;2.200;2.500;2.800;3.300
 0 ° ;1.330;1.540;1.770;2.050;2.350;2.750;3.200;3.800
 -5 ° ;1.360;1.590;1.860;2.200;2.550;3.000;3.600;4.300
 -10 ° ;1.380;1.640;1.930;2.300;2.750;3.300;4.000;5.000
 -15 ° ;1.390;1.670;2.000;2.400;2.950;3.600;4.500;5.700
 -20 ° ;1.390;1.700;2.100;2.550;3.200;4.000;5.100;6.000
 -25 ° ;1.390;1.720;2.150;2.700;3.400;4.300;5.700;7.600
 -30 ° ;1.360;1.720;2.200;2.800;3.600;4.700;6.400;8.900
 -35 ° ;1.340;1.720;2.200;2.900;3.800;5.200;7.200;10.400
 -40 ° ;1.310;1.700;2.250;3.000;4.000;5.700;8.100;12.200
 -45 ° ;1.260;1.680;2.250;3.100;4.300;6.200;9.200;14.500
 -50 ° ;1.200;1.640;2.250;3.200;4.500;6.700;10.500;17.200
 -55 ° ;1.140;1.600;2.250;3.300;4.800;7.400;12.000;21.000
 -60 ° ;1.060;1.530;2.250;3.300;5.100;8.100;13.700;25.000
 -65 ° ;  ;1.460;2.200;3.400;5.400;9.000;15.800;30.000
 -70 ° ;  ;1.370;2.150;3.400;5.700;9.800;18.300;37.000
 -75 ° ;  ;1.270;2.100;3.500;6.000;10.900;21.500;45.000
 -80 ° ;  ;1.140;2.000;3.500;6.300;12.000;25.000;56.000
 -85 ° ;  ;1.010;1.880;3.500;6.700;13.400;29.000;69.000
 -90 ° ;  ;  ;1.740;3.500;7.100;15.000;34.000;86.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;1.000;1.060;1.130
 40 ° ;  ;  ;  ;1.030;1.100;1.180;1.270;1.370
 35 ° ;  ;1.010;1.090;1.180;1.280;1.390;1.500;1.630
 30 ° ;1.020;1.120;1.220;1.340;1.460;1.600;1.760;1.940
 25 ° ;1.100;1.220;1.350;1.490;1.660;1.840;2.050;2.300
 20 ° ;1.170;1.310;1.470;1.650;1.850;2.100;2.350;2.700
 15 ° ;1.230;1.400;1.580;1.800;2.050;2.350;2.700;3.100
 10 ° ;1.280;1.470;1.680;1.930;2.250;2.600;3.000;3.600
 5 ° ;1.330;1.540;1.780;2.100;2.450;2.850;3.400;4.200
 0 ° ;1.360;1.600;1.880;2.200;2.650;3.200;3.900;4.800
 -5 ° ;1.390;1.650;1.960;2.350;2.850;3.500;4.300;5.500
 -10 ° ;1.410;1.690;2.050;2.500;3.100;3.800;4.900;6.400
 -15 ° ;1.420;1.730;2.100;2.600;3.300;4.200;5.500;7.500
 -20 ° ;1.420;1.750;2.200;2.750;3.500;4.600;6.200;8.700
 -25 ° ;1.420;1.780;2.250;2.900;3.800;5.000;7.000;10.200
 -30 ° ;1.390;1.780;2.300;3.000;4.000;5.500;7.900;11.900
 -35 ° ;1.360;1.780;2.350;3.100;4.300;6.000;9.000;14.200
 -40 ° ;1.330;1.760;2.350;3.200;4.500;6.600;10.200;16.800
 -45 ° ;1.280;1.740;2.400;3.300;4.800;7.300;11.700;20.500
 -50 ° ;1.220;1.700;2.400;3.400;5.100;8.000;13.300;25.000
 -55 ° ;1.150;1.650;2.400;3.500;5.400;8.800;15.300;29.500
 -60 ° ;1.070;1.580;2.350;3.600;5.700;10.000;17.800;36.000
 -65 ° ;  ;1.500;2.300;3.700;6.100;10.800;20.500;44.000
 -70 ° ;  ;1.410;2.250;3.700;6.400;11.900;24.000;55.000
 -75 ° ;  ;1.300;2.200;3.800;6.800;13.200;28.000;67.000
 -80 ° ;  ;1.180;2.100;3.800;7.200;14.700;33.000;83.000
 -85 ° ;  ;1.040;1.970;3.800;7.700;16.500;39.000;105.000
 -90 ° ;  ;  ;1.830;3.800;8.100;18.500;46.000;130.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;1.000
 45 ° ;  ;  ;  ;  ;1.000;1.070;1.140;1.220
 40 ° ;  ;  ;1.000;1.090;1.170;1.270;1.370;1.480
 35 ° ;  ;1.040;1.130;1.230;1.350;1.480;1.600;1.760
 30 ° ;1.040;1.140;1.260;1.400;1.540;1.700;1.900;2.100
 25 ° ;1.110;1.250;1.390;1.550;1.740;1.950;2.200;2.500
