 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -55 ° ;  ;  ;  ;  ;1.050;1.100;1.070;1.000
 -60 ° ;  ;  ;  ;  ;1.070;1.200;1.110;1.010
 -65 ° ;  ;  ;  ;  ;1.100;1.200;1.150;1.130
 -70 ° ;  ;  ;  ;  ;1.150;1.200;1.210;1.220
 -75 ° ;  ;  ;  ;  ;1.150;1.230;1.250;1.300
 -80 ° ;  ;  ;  ;  ;1.150;1.260;1.300;1.390
 -85 ° ;  ;  ;  ;  ;1.150;1.290;1.350;1.470
 -90 ° ;  ;  ;  ;  ;1.120;1.320;1.400;1.550
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;1.030;1.020;1.000;  ;  ;  ;  ;  
 -20 ° ;1.060;1.090;1.100;1.070;1.040;  ;  ;  
 -25 ° ;1.080;1.140;1.160;1.160;1.130;1.100;1.050;  
 -30 ° ;1.080;1.160;1.220;1.240;1.260;1.200;1.170;1.100
 -35 ° ;1.060;1.180;1.260;1.320;1.350;1.350;1.300;1.220
 -40 ° ;1.050;1.170;1.300;1.380;1.440;1.470;1.470;1.400
 -45 ° ;1.010;1.160;1.300;1.420;1.530;1.600;1.600;1.550
 -50 ° ;  ;1.140;1.300;1.460;1.600;1.700;1.750;1.700
 -55 ° ;  ;1.110;1.300;1.490;1.660;1.820;1.900;1.900
 -60 ° ;  ;1.060;1.290;1.520;1.720;1.900;2.100;2.100
 -65 ° ;  ;1.020;1.270;1.520;1.770;2.050;2.250;2.400
 -70 ° ;  ;  ;1.230;1.520;1.820;2.150;2.400;2.650
 -75 ° ;  ;  ;1.190;1.520;1.860;2.250;2.600;3.000
 -80 ° ;  ;  ;1.120;1.500;1.900;2.400;2.800;3.300
 -85 ° ;  ;  ;1.050;1.460;1.950;2.500;3.100;3.700
 -90 ° ;  ;  ;  ;1.400;1.980;2.650;3.300;4.200
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;1.010;1.000;  ;  ;  ;  ;  ;  
 -10 ° ;1.070;1.090;1.080;1.060;  ;  ;  ;  
 -15 ° ;1.100;1.160;1.180;1.180;1.140;1.110;1.070;1.000
 -20 ° ;1.130;1.220;1.250;1.280;1.280;1.260;1.220;1.160
 -25 ° ;1.140;1.240;1.330;1.390;1.400;1.410;1.400;1.320
 -30 ° ;1.130;1.260;1.360;1.460;1.520;1.560;1.570;1.520
 -35 ° ;1.110;1.270;1.410;1.540;1.640;1.720;1.700;1.700
 -40 ° ;1.090;1.260;1.430;1.600;1.740;1.850;1.930;1.950
 -45 ° ;1.060;1.250;1.450;1.640;1.830;2.000;2.100;2.150
 -50 ° ;1.010;1.230;1.450;1.680;1.920;2.100;2.300;2.400
 -55 ° ;  ;1.200;1.450;1.730;2.000;2.250;2.500;2.650
 -60 ° ;  ;1.160;1.420;1.740;2.100;2.400;2.700;3.000
