 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -45 ° ;1.330;1.800;2.450;3.300;4.400;6.000;8.200;12.000
 -50 ° ;1.290;1.800;2.500;3.500;4.900;6.700;10.000;16.000
 -55 ° ;1.240;1.800;2.600;3.700;5.300;7.800;12.000;19.000
 -60 ° ;1.180;1.770;2.650;3.900;5.900;9.000;14.000;23.000
 -65 ° ;1.110;1.740;2.650;4.100;6.400;10.500;16.400;28.000
 -70 ° ;1.030;1.680;2.700;4.300;7.000;11.800;20.000;35.000
 -75 ° ;  ;1.620;2.750;4.600;7.800;13.000;24.000;44.000
 -80 ° ;  ;1.530;2.750;4.800;8.400;15.000;28.000;55.000
 -85 ° ;  ;1.430;2.700;5.000;9.300;17.100;35.000;68.000
 -90 ° ;  ;1.300;2.700;5.300;10.300;20.000;41.000;85.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;1.100;1.150;1.200;1.230;1.300;1.340;1.380;1.500
 5 ° ;1.200;1.290;1.400;1.480;1.600;1.700;1.780;1.900
 0 ° ;1.270;1.410;1.560;1.730;1.870;2.100;2.200;2.400
 -5 ° ;1.320;1.500;1.700;1.920;2.150;2.400;2.800;3.100
 -10 ° ;1.360;1.570;1.850;2.100;2.450;2.800;3.200;3.900
 -15 ° ;1.380;1.640;1.940;2.300;2.700;3.200;3.800;4.500
 -20 ° ;1.400;1.700;2.050;2.500;3.000;3.700;4.600;5.800
 -25 ° ;1.420;1.760;2.150;2.700;3.300;4.200;5.200;7.000
 -30 ° ;1.420;1.800;2.300;2.900;3.700;4.800;6.200;8.100
 -35 ° ;1.410;1.840;2.400;3.100;4.100;5.400;7.300;10.000
 -40 ° ;1.390;1.860;2.500;3.300;4.500;6.200;8.500;12.000
 -45 ° ;1.370;1.880;2.600;3.500;4.900;7.000;10.000;15.000
 -50 ° ;1.330;1.880;2.650;3.800;5.400;7.800;12.000;19.000
 -55 ° ;1.270;1.870;2.750;4.000;5.900;9.000;14.000;23.000
 -60 ° ;1.210;1.850;2.800;4.200;6.600;10.400;17.000;28.000
 -65 ° ;1.140;1.810;2.850;4.500;7.200;11.900;20.000;34.000
 -70 ° ;1.050;1.760;2.900;4.700;7.800;13.500;24.000;44.000
 -75 ° ;  ;1.690;2.900;5.000;8.600;15.300;28.000;55.000
 -80 ° ;  ;1.600;2.900;5.200;9.600;17.800;35.000;69.000
 -85 ° ;  ;1.500;2.900;5.500;10.500;20.000;42.000;87.000
 -90 ° ;  ;1.370;2.900;5.800;11.600;23.000;48.000;108.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;1.030;1.100;1.180
 20 ° ;1.020;1.080;1.140;1.220;1.300;1.380;1.530;1.600
 15 ° ;1.140;1.250;1.360;1.490;1.640;1.780;1.950;2.150
 10 ° ;1.240;1.390;1.540;1.730;1.940;2.200;2.450;2.800
 5 ° ;1.300;1.490;1.710;1.950;2.250;2.600;3.000;3.600
 0 ° ;1.360;1.580;1.860;2.200;2.550;3.000;3.600;4.200
 -5 ° ;1.410;1.680;1.990;2.400;2.850;3.500;4.400;5.300
 -10 ° ;1.450;1.750;2.100;2.600;3.200;4.000;5.000;6.600
 -15 ° ;1.470;1.820;2.260;2.850;3.600;4.600;5.800;8.000
 -20 ° ;1.500;1.890;2.400;3.100;4.000;5.200;7.000;9.800
 -25 ° ;1.510;1.950;2.500;3.300;4.400;6.000;8.200;12.000
 -30 ° ;1.510;1.990;2.650;3.600;4.900;6.800;9.800;15.000
 -35 ° ;1.500;2.050;2.800;3.800;5.400;7.800;11.400;18.000
 -40 ° ;1.480;2.050;2.900;4.100;6.000;8.800;13.400;22.000
 -45 ° ;1.450;2.100;3.000;4.400;6.600;10.000;16.000;28.000
 -50 ° ;1.410;2.100;3.100;4.700;7.200;11.400;19.000;35.000
 -55 ° ;1.350;2.100;3.200;5.000;8.000;13.200;23.000;42.000
 -60 ° ;1.280;2.050;3.300;5.300;8.800;15.000;27.000;52.000
 -65 ° ;1.210;2.000;3.300;5.600;9.600;17.500;32.000;65.000
 -70 ° ;1.120;1.950;3.400;5.900;10.600;20.000;38.000;82.000
 -75 ° ;1.020;1.880;3.400;6.300;11.700;23.000;46.000;103.000
 -80 ° ;  ;1.790;3.400;6.600;13.000;26.000;56.000;130.000
 -85 ° ;  ;1.680;3.500;7.000;14.200;30.000;68.000;165.000
 -90 ° ;  ;1.550;3.500;7.400;15.700;34.000;82.000;205.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;1.020
 25 ° ;  ;  ;1.020;1.090;1.180;1.270;1.400;1.550
 20 ° ;1.080;1.160;1.260;1.380;1.500;1.700;1.850;2.000
 15 ° ;1.190;1.320;1.460;1.640;1.840;2.050;2.300;2.600
 10 ° ;1.270;1.440;1.650;1.880;2.150;2.500;2.900;3.200
 5 ° ;1.340;1.540;1.800;2.100;2.450;2.900;3.500;4.200
 0 ° ;1.390;1.630;1.950;2.300;2.750;3.400;4.100;5.000
 -5 ° ;1.440;1.730;2.100;2.550;3.100;3.900;4.800;6.300
 -10 ° ;1.480;1.810;2.200;2.750;3.500;4.500;5.800;7.900
 -15 ° ;1.500;1.880;2.350;3.000;3.900;5.200;6.800;9.300
 -20 ° ;1.530;1.950;2.500;3.300;4.300;5.800;8.200;11.500
 -25 ° ;1.540;2.000;2.650;3.500;4.800;6.600;9.500;14.000
 -30 ° ;1.540;2.050;2.800;3.800;5.300;7.600;11.200;17.800
 -35 ° ;1.530;2.100;2.900;4.100;5.800;8.600;13.000;21.500
 -40 ° ;1.510;2.100;3.000;4.400;6.400;10.000;15.500;26.000
 -45 ° ;1.480;2.150;3.100;4.700;7.100;11.400;18.500;32.000
 -50 ° ;1.430;2.150;3.200;5.000;7.800;12.800;22.000;40.000
 -55 ° ;1.380;2.150;3.300;5.300;8.600;14.800;27.000;50.000
 -60 ° ;1.310;2.100;3.400;5.600;9.600;17.000;32.000;65.000
 -65 ° ;1.240;2.050;3.500;6.000;10.600;19.500;38.000;80.000
 -70 ° ;1.140;2.000;3.500;6.300;11.600;22.500;45.000;100.000
 -75 ° ;1.040;1.940;3.600;6.700;12.800;25.500;54.000;125.000
 -80 ° ;  ;1.840;3.600;7.100;14.200;29.500;64.000;160.000
 -85 ° ;  ;1.740;3.600;7.500;15.600;34.000;78.000;200.000
 -90 ° ;  ;1.600;3.600;7.900;17.200;39.000;95.000;250.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;1.000;1.120;1.250
 30 ° ;  ;  ;1.020;1.120;1.250;1.370;1.550;1.750
 25 ° ;1.040;1.140;1.260;1.410;1.580;1.770;2.050;2.400
 20 ° ;1.160;1.300;1.460;1.660;1.900;2.300;2.600;3.100
 15 ° ;1.250;1.440;1.650;1.920;2.250;2.600;3.200;3.800
 10 ° ;1.330;1.540;1.820;2.150;2.550;3.100;3.800;4.700
 5 ° ;1.390;1.640;1.970;2.350;2.900;3.500;4.400;5.600
 0 ° ;1.440;1.740;2.100;2.600;3.200;4.100;5.300;7.000
 -5 ° ;1.490;1.840;2.300;2.850;3.600;4.700;6.300;8.600
 -10 ° ;1.530;1.920;2.400;3.100;4.000;5.400;7.300;10.500
 -15 ° ;1.560;1.990;2.600;3.400;4.500;6.200;8.800;13.000
 -20 ° ;1.580;2.050;2.700;3.700;5.000;7.100;10.400;16.000
 -25 ° ;1.590;2.100;2.850;4.000;5.600;8.000;12.200;20.000
 -30 ° ;1.590;2.150;3.000;4.300;6.200;9.200;14.500;24.000
 -35 ° ;1.570;2.200;3.100;4.600;6.800;10.600;17.000;30.000
 -40 ° ;1.560;2.250;3.300;4.900;7.600;12.000;20.500;38.000
 -45 ° ;1.530;2.250;3.400;5.200;8.300;13.900;24.000;48.000
 -50 ° ;1.480;2.250;3.500;5.600;9.200;15.700;29.000;58.000
 -55 ° ;1.420;2.250;3.600;6.000;10.200;18.200;35.000;74.000
 -60 ° ;1.350;2.200;3.700;6.300;11.200;21.000;42.000;90.000
 -65 ° ;1.270;2.200;3.800;6.800;12.400;24.000;50.000;115.000
 -70 ° ;1.170;2.100;3.900;7.200;13.700;28.000;60.000;144.000
 -75 ° ;1.070;2.050;3.900;7.600;15.200;32.000;72.000;180.000
 -80 ° ;  ;1.950;4.000;8.100;16.800;37.000;85.000;230.000
 -85 ° ;  ;1.840;4.000;8.500;18.500;42.000;105.000;290.000
 -90 ° ;  ;1.700;4.000;9.000;20.500;49.000;125.000;360.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;1.100;1.300
 40 ° ;  ;  ;  ;  ;1.120;1.300;1.600;1.800
 35 ° ;  ;1.000;1.120;1.270;1.470;1.700;2.050;2.400
 30 ° ;1.040;1.180;1.340;1.550;1.820;2.100;2.550;3.200
 25 ° ;1.160;1.330;1.540;1.810;2.150;2.600;3.200;4.000
 20 ° ;1.250;1.460;1.720;2.050;2.500;3.000;3.800;4.900
 15 ° ;1.330;1.580;1.880;2.300;2.800;3.500;4.600;6.000
 10 ° ;1.400;1.680;2.050;2.550;3.200;4.100;5.400;7.400
 5 ° ;1.460;1.790;2.200;2.800;3.600;4.700;6.400;9.000
 0 ° ;1.510;1.880;2.400;3.100;4.000;5.400;7.600;11.000
 -5 ° ;1.560;1.980;2.550;3.300;4.500;6.200;9.000;13.700
 -10 ° ;1.600;2.050;2.700;3.600;5.000;7.100;10.500;17.000
 -15 ° ;1.630;2.150;2.900;4.000;5.600;8.200;12.400;21.000
 -20 ° ;1.650;2.200;3.000;4.300;6.200;9.400;15.000;26.000
 -25 ° ;1.660;2.300;3.200;4.600;6.900;10.800;18.000;32.000
 -30 ° ;1.650;2.250;3.400;5.000;7.600;12.400;21.000;40.000
 -35 ° ;1.640;2.400;3.500;5.400;8.500;14.200;25.000;50.000
 -40 ° ;1.620;2.400;3.600;5.700;9.400;16.000;30.000;62.000
 -45 ° ;1.590;2.400;3.800;6.100;10.400;18.700;36.000;78.000
 -50 ° ;1.540;2.400;3.900;6.600;11.400;21.000;43.000;96.000
 -55 ° ;1.480;2.400;4.000;7.000;12.600;24.500;52.000;120.000
 -60 ° ;1.410;2.400;4.100;7.400;14.100;28.000;62.000;150.000
 -65 ° ;1.320;2.350;4.200;7.900;15.500;32.000;74.000;190.000
 -70 ° ;1.220;2.300;4.300;8.400;17.200;38.000;89.000;240.000
 -75 ° ;1.110;2.200;4.400;8.900;19.200;44.000;108.000;300.000
 -80 ° ;  ;2.100;4.400;9.500;21.000;50.000;130.000;380.000
 -85 ° ;  ;1.980;4.500;10.100;23.500;58.000;156.000;480.000
 -90 ° ;  ;1.840;4.500;10.700;26.000;67.000;188.000;600.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;1.000;1.220;1.480;1.820
 45 ° ;  ;  ;  ;1.110;1.320;1.600;1.950;2.400
 40 ° ;  ;1.020;1.180;1.390;1.660;2.000;2.500;3.100
 35 ° ;1.030;1.190;1.390;1.660;2.000;2.450;3.100;3.900
 30 ° ;1.140;1.340;1.580;1.900;2.350;2.800;3.700;4.900
 25 ° ;1.240;1.470;1.760;2.150;2.650;3.400;4.500;6.100
 20 ° ;1.320;1.580;1.940;2.400;3.000;3.900;5.300;7.400
 15 ° ;1.400;1.700;2.100;2.650;3.400;4.500;6.400;9.100
 10 ° ;1.460;1.820;2.300;2.950;3.900;5.300;7.600;11.200
 5 ° ;1.530;1.920;2.450;3.200;4.400;6.100;9.000;13.800
 0 ° ;1.580;2.000;2.650;3.500;4.900;7.000;10.600;17.000
 -5 ° ;1.620;2.100;2.800;3.800;5.500;8.100;12.500;21.000
 -10 ° ;1.660;2.200;3.000;4.200;6.100;9.200;15.000;26.000
 -15 ° ;1.690;2.300;3.200;4.500;6.800;10.600;17.800;33.000
 -20 ° ;1.710;2.350;3.400;4.900;7.500;12.200;21.000;40.000
 -25 ° ;1.720;2.450;3.500;5.300;8.400;13.800;25.000;50.000
 -30 ° ;1.720;2.500;3.700;5.700;9.300;16.000;30.000;63.000
 -35 ° ;1.700;2.500;3.900;6.100;10.300;18.400;36.000;79.000
 -40 ° ;1.670;2.550;4.000;6.600;11.400;21.000;43.000;99.000
 -45 ° ;1.640;2.600;4.100;7.100;12.600;24.500;52.000;124.000
 -50 ° ;1.590;2.600;4.300;7.600;14.000;28.000;62.000;156.000
 -55 ° ;1.530;2.550;4.400;8.000;15.600;32.000;74.000;200.000
 -60 ° ;1.460;2.550;4.500;8.600;17.200;37.000;89.000;250.000
 -65 ° ;1.360;2.500;4.700;9.200;19.000;43.000;108.000;310.000
 -70 ° ;1.260;2.400;4.800;9.700;21.000;49.000;128.000;390.000
 -75 ° ;1.150;2.350;4.800;10.300;23.500;57.000;156.000;490.000
 -80 ° ;1.020;2.250;4.900;11.000;26.000;66.000;188.000;620.000
 -85 ° ;  ;2.100;4.900;11.700;29.000;76.000;225.000;780.000
 -90 ° ;  ;1.960;5.000;12.400;32.000;88.000;270.000;960.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.090;1.320;1.620;2.050;2.650
 45 ° ;  ;  ;1.130;1.360;1.660;2.000;2.600;3.400
 40 ° ;  ;1.140;1.340;1.620;1.980;2.450;3.200;4.200
 35 ° ;1.090;1.290;1.530;1.870;2.300;2.900;3.900;5.200
 30 ° ;1.190;1.420;1.720;2.100;2.650;3.400;4.600;6.800
 25 ° ;1.280;1.550;1.900;2.400;3.000;4.000;5.500;7.900
 20 ° ;1.360;1.660;2.100;2.650;3.400;4.600;6.600;9.700
 15 ° ;1.430;1.780;2.250;2.900;3.900;5.300;7.800;12.000
 10 ° ;1.500;1.900;2.450;3.200;4.400;6.200;9.200;14.800
 5 ° ;1.570;2.000;2.650;3.500;4.900;7.100;11.000;18.200
 0 ° ;1.620;2.100;2.800;3.900;5.500;8.200;13.200;22.500
 -5 ° ;1.660;2.200;3.000;4.200;6.200;9.400;15.600;28.000
 -10 ° ;1.700;2.300;3.200;4.500;6.900;10.800;18.400;35.000
 -15 ° ;1.730;2.400;3.400;4.900;7.600;12.400;22.000;43.000
 -20 ° ;1.750;2.450;3.600;5.400;8.500;14.200;26.500;54.000
 -25 ° ;1.750;2.500;3.700;5.800;9.400;16.400;32.000;68.000
 -30 ° ;1.750;2.600;3.900;6.200;10.500;18.800;38.000;85.000
 -35 ° ;1.730;2.600;4.100;6.700;11.600;21.500;45.000;106.000
 -40 ° ;1.710;2.650;4.300;7.200;12.900;25.000;54.000;132.000
 -45 ° ;1.670;2.650;4.400;7.700;14.200;28.000;64.000;165.000
 -50 ° ;1.620;2.650;4.500;8.200;15.800;33.000;77.000;210.000
 -55 ° ;1.560;2.650;4.700;8.700;17.600;38.000;93.000;260.000
 -60 ° ;1.480;2.600;4.800;9.400;19.400;43.000;112.000;330.000
 -65 ° ;1.390;2.600;4.900;10.000;21.500;52.000;134.000;420.000
 -70 ° ;1.280;2.500;5.000;10.600;24.000;58.000;162.000;520.000
 -75 ° ;1.170;2.400;5.100;11.300;27.000;68.000;195.000;660.000
 -80 ° ;1.040;2.300;5.200;12.000;29.500;78.000;235.000;840.000
 -85 ° ;  ;2.200;5.300;12.800;33.000;90.000;285.000;  
 -90 ° ;  ;2.050;5.300;13.600;36.000;105.000;340.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.010;1.480;1.480;1.860;2.350;3.100
 45 ° ;  ;1.030;1.220;1.730;1.820;2.300;2.900;3.900
 40 ° ;1.000;1.190;1.420;1.980;2.150;2.700;3.500;4.800
 35 ° ;1.110;1.330;1.600;2.100;2.450;3.200;4.200;5.900
 30 ° ;1.220;1.460;1.780;2.250;2.800;3.700;5.100;7.300
 25 ° ;1.300;1.580;1.960;2.500;3.200;4.300;6.100;9.000
 20 ° ;1.380;1.700;2.150;2.750;3.600;5.000;7.200;11.100
 15 ° ;1.450;1.820;2.300;3.000;4.100;5.800;8.600;13.600
 10 ° ;1.520;1.940;2.500;3.300;4.600;6.700;10.200;16.800
 5 ° ;1.590;2.050;2.700;3.700;5.200;7.700;12.200;21.000
 0 ° ;1.640;2.150;2.900;4.000;5.800;8.900;14.600;26.000
 -5 ° ;1.680;2.250;3.100;4.400;6.500;10.200;17.200;32.000
 -10 ° ;1.720;2.350;3.300;4.700;7.300;11.800;20.500;40.000
 -15 ° ;1.750;2.400;3.500;5.200;8.100;13.400;24.500;50.000
 -20 ° ;1.770;2.500;3.700;5.600;9.000;15.500;29.000;63.000
 -25 ° ;1.770;2.550;3.800;6.000;10.000;17.800;35.000;78.000
 -30 ° ;1.770;2.600;4.000;6.500;11.100;20.500;42.000;98.000
 -35 ° ;1.750;2.650;4.200;7.000;12.300;23.500;50.000;122.000
 -40 ° ;1.720;2.700;4.400;7.500;13.600;27.000;60.000;154.000
 -45 ° ;1.690;2.700;4.500;8.000;15.100;31.000;72.000;192.000
 -50 ° ;1.640;2.700;4.700;8.600;16.800;36.000;86.000;245.000
 -55 ° ;1.580;2.700;4.800;9.100;18.600;42.000;104.000;300.000
 -60 ° ;1.500;2.650;5.000;9.800;20.500;48.000;125.000;380.000
 -65 ° ;1.400;2.600;5.100;10.400;23.000;55.000;150.000;480.000
 -70 ° ;1.300;2.550;5.200;11.100;25.500;64.000;180.000;610.000
 -75 ° ;1.180;2.450;5.300;11.800;28.500;74.000;220.000;760.000
 -80 ° ;1.050;2.350;5.400;12.600;31.000;85.000;260.000;980.000
 -85 ° ;  ;2.200;5.400;13.400;35.000;99.000;320.000;  
 -90 ° ;  ;2.100;5.400;14.300;39.000;115.000;380.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.010;1.240;1.530;1.920;2.450;3.300;4.600
 45 ° ;  ;1.170;1.430;1.760;2.250;2.900;4.000;5.700
 40 ° ;1.080;1.300;1.600;2.000;2.550;3.400;4.800;6.900
 35 ° ;1.170;1.430;1.780;2.250;2.950;4.000;5.600;8.600
 30 ° ;1.260;1.560;1.960;2.500;3.300;4.600;6.800;10.600
 25 ° ;1.350;1.690;2.150;2.800;3.800;5.400;8.100;13.000
 20 ° ;1.430;1.810;2.350;3.100;4.300;6.200;9.700;16.200
 15 ° ;1.500;1.930;2.550;3.400;4.900;7.200;11.800;20.000
 10 ° ;1.580;2.050;2.750;3.800;5.500;8.400;13.800;25.000
 5 ° ;1.640;2.150;2.950;4.100;6.100;9.600;16.400;31.000
 0 ° ;1.690;2.300;3.100;4.500;6.800;11.100;19.400;38.000
 -5 ° ;1.730;2.400;3.300;4.900;7.600;12.700;23.000;48.000
 -10 ° ;1.770;2.450;3.600;5.300;8.500;14.500;27.500;60.000
 -15 ° ;1.800;2.550;3.800;5.800;9.500;16.800;33.000;75.000
 -20 ° ;1.820;2.600;4.000;6.300;10.600;19.400;40.000;94.000
 -25 ° ;1.820;2.700;4.200;6.800;11.700;22.000;48.000;117.000
 -30 ° ;1.820;2.750;4.400;7.300;13.000;25.500;57.000;148.000
 -35 ° ;1.800;2.800;4.500;7.800;14.500;29.500;68.000;184.000
 -40 ° ;1.770;2.800;4.700;8.400;16.100;34.000;82.000;235.000
 -45 ° ;1.730;2.850;4.900;9.000;17.800;39.000;99.000;290.000
 -50 ° ;1.680;2.850;5.000;9.600;19.800;46.000;119.000;360.000
 -55 ° ;1.610;2.800;5.200;10.300;22.000;53.000;142.000;460.000
 -60 ° ;1.530;2.800;5.300;11.000;24.500;60.000;172.000;580.000
 -65 ° ;1.440;2.750;5.500;11.700;27.000;70.000;210.000;730.000
