 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;1.150;1.200;1.250;1.150;1.120
 -30 ° ;1.040;1.140;1.210;1.270;1.320;1.370;1.400;1.330
 -35 ° ;1.030;1.160;1.270;1.360;1.550;1.600;1.600;1.530
 -40 ° ;1.000;1.170;1.320;1.470;1.820;1.830;1.790;1.760
 -45 ° ;  ;1.170;1.370;1.550;1.920;2.100;2.250;2.500
 -50 ° ;  ;1.170;1.410;1.610;2.050;2.400;2.650;3.200
 -55 ° ;  ;1.160;1.430;1.670;2.250;2.800;3.100;3.900
 -60 ° ;  ;1.140;1.450;1.730;2.350;3.100;3.700;4.700
 -65 ° ;  ;  ;1.470;1.810;2.500;3.500;4.200;5.400
 -70 ° ;  ;  ;1.450;1.880;2.600;3.900;4.900;6.300
 -75 ° ;  ;  ;1.420;1.910;2.900;4.200;5.800;7.900
 -80 ° ;  ;  ;1.410;1.970;3.100;4.800;6.800;9.300
 -85 ° ;  ;  ;1.370;1.980;3.300;5.700;8.000;11.500
 -90 ° ;  ;  ;1.300;1.930;3.600;6.600;10.000;15.200
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;1.100;1.140;1.160;1.150;1.230;1.120;1.100;1.200
 -5 ° ;1.180;1.270;1.340;1.380;1.430;1.480;1.500;1.500
 -10 ° ;1.230;1.360;1.480;1.560;1.700;1.730;1.800;2.000
 -15 ° ;1.270;1.440;1.600;1.750;1.900;2.000;2.200;2.400
 -20 ° ;1.290;1.480;1.680;1.920;2.150;2.400;2.600;3.000
 -25 ° ;1.300;1.530;1.780;2.050;2.350;2.700;3.000;3.800
 -30 ° ;1.300;1.570;1.880;2.200;2.600;3.100;3.500;4.200
 -35 ° ;1.300;1.590;1.950;2.400;2.900;3.500;4.000;5.000
 -40 ° ;1.280;1.620;2.050;2.550;3.200;4.000;4.800;6.000
 -45 ° ;1.250;1.640;2.100;2.700;3.500;4.500;5.800;7.000
 -50 ° ;1.220;1.640;2.200;2.900;3.800;5.000;6.800;9.000
 -55 ° ;1.170;1.620;2.250;3.000;4.200;5.600;8.000;11.000
 -60 ° ;1.110;1.600;2.300;3.200;4.600;6.500;9.200;13.000
 -65 ° ;1.040;1.570;2.300;3.400;5.000;7.400;11.000;16.000
 -70 ° ;  ;1.520;2.350;3.600;5.400;8.400;13.500;20.000
 -75 ° ;  ;1.450;2.350;3.700;6.000;9.400;16.000;26.000
 -80 ° ;  ;1.360;2.350;3.900;6.400;10.800;18.000;34.000
 -85 ° ;  ;1.270;2.300;4.100;7.000;12.100;23.000;41.000
 -90 ° ;  ;1.150;2.300;4.300;7.800;14.000;28.000;50.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;1.020;1.040;1.060;1.050;1.070;1.080;1.040;1.000
 5 ° ;1.140;1.200;1.280;1.310;1.360;1.380;1.400;1.500
 0 ° ;1.220;1.340;1.450;1.560;1.650;1.750;1.900;2.000
 -5 ° ;1.280;1.440;1.600;1.750;1.930;2.100;2.400;2.500
 -10 ° ;1.320;1.500;1.720;1.920;2.200;2.450;2.800;3.000
 -15 ° ;1.350;1.570;1.860;2.100;2.450;2.800;3.200;3.800
 -20 ° ;1.370;1.640;1.940;2.300;2.700;3.100;3.800;4.800
 -25 ° ;1.380;1.680;2.050;2.500;3.000;3.500;4.400;5.800
 -30 ° ;1.380;1.730;2.150;2.750;3.300;4.100;5.200;7.000
 -35 ° ;1.370;1.760;2.250;2.850;3.700;4.700;6.000;8.200
 -40 ° ;1.360;1.780;2.350;3.100;4.100;5.500;7.200;10.000
